ticker,model,mae,rmse,mape,directional_accuracy,samples,coverage_p10_p90,naive_mape,ratio,out_of_range_pct
AAPL,tft,126.22906605501842,139.44682846898843,65.93659120577668,46.46211646837821,1601,0.0624609618988132,1.3018053957892002,50.65011361840577,99.94212962962963
ABBV,tft,27.267421417804208,30.59647551960185,12.484528530852778,48.06201550387597,388,21.649484536082475,1.2170014238165578,10.258433791885691,84.30232558139535
ABNB,tft,5.329203784341707,6.7269372623666,3.587067902545359,50.0,88,63.63636363636363,1.6406942530118822,2.186311005819913,0.0
ACB.VN,tft,774.5314039239984,846.2545326878719,3.5919841577819724,51.85185185185185,97,89.69072164948454,1.0808381561239273,3.323332117237098,0.0
ADA-USD,tft,0.0269668366746511,0.0382786461669662,6.517256887252156,56.33802816901409,355,58.0281690140845,2.994049345740329,2.1767366314534318,0.0
ADBE,tft,40.56183967533012,45.32559982748072,9.01857681652886,49.49421965317919,1386,57.35930735930735,1.6143659494896938,5.5864513367490565,46.961690885072656
ALGO-USD,tft,0.0107601997542178,0.0124289580350459,11.351065470111154,45.69288389513109,267,95.88014981273407,2.870536001591467,3.954336564257671,0.0
AMD,tft,93.44741685850892,140.6195780365074,55.5850481255632,49.56949569495695,1629,2.4554941682013505,2.53397800507346,21.935884216150402,93.739328400683
AMZN,tft,21.225104272853287,26.08244223556926,10.855953780943018,48.20512820512821,978,43.66053169734151,1.536182481129958,7.066838682444671,44.032549728752265
ARKK,tft,6.4727117961218505,6.723367198017134,8.461528485219102,48.74213836477988,319,21.00313479623825,1.8532828485155004,4.565697293317573,0.0
ATOM-USD,tft,0.1410267676981446,0.1669361150160911,8.212938217565782,47.16312056737589,282,100.0,2.398945977605778,3.4235611365298633,0.0
AVAX-USD,tft,0.3666890203593865,0.4503715964054764,4.512380604543138,49.494949494949495,198,95.45454545454544,2.2980742143741617,1.9635486862516325,0.0
AVGO,tft,161.0252540908792,185.84072512451652,51.2165123197598,46.70542635658915,517,0.1934235976789168,2.2696716992126955,22.565603799671027,97.82608695652173
BAC,tft,3.5808189516695066,5.596112632659927,8.761140449507966,47.71519659936238,1897,73.74802319451767,1.3722147367024475,6.384671593428413,35.62252964426877
BCH-USD,tft,36.73158279658006,42.6854168636338,7.855558794661614,53.23943661971831,355,30.704225352112672,2.517975695246707,3.1197913504450803,0.0
BID.VN,tft,2223.3098096108365,2567.2793066734466,5.8198759644819145,51.97368421052632,363,84.29752066115702,1.25244213764239,4.646822228001135,8.16326530612245
BNB-USD,tft,94.4045974620201,134.6685641523584,10.661278379789872,48.16901408450705,355,58.309859154929576,1.8624832288624569,5.724227855893998,40.993788819875775
BRK-B,tft,83.70551703650652,100.73668791182392,18.17262033825482,47.24409448818898,1017,34.51327433628318,0.7657793854160537,23.730882137002812,75.61188811188812
