Date,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2018-06-04,12790.474609375,32076.396484375,12859.118134474213,32890.83749354696,12378.617187683492,32076.396484375004,12538.783859205085,32076.396484375004,12235947,8435520.0
2018-06-05,12996.4052734375,30071.625,13133.690469969093,33204.08471388245,12721.833015922279,30071.625,12790.475614188075,31042.68666700745,16374715,4072500.0
2018-06-06,13248.0947265625,28818.640625,13385.380841674316,30071.625638409172,12859.117866525317,28505.395748217485,12996.403981637133,29758.378926200287,11380579,4816440.0
2018-06-07,12973.5244140625,30823.4140625,13316.7392864625,30823.4140625,12950.643857607996,29163.21046159279,13316.7392864625,29601.75435880335,12452266,4129620.0
2018-06-08,13065.046875,32953.48828125,13156.570953856239,32953.48828125,12813.356124258316,31167.98565550375,12813.356124258316,31637.854767542238,9945029,6025500.0
2018-06-11,12836.2373046875,34143.8203125,13156.571596327123,34143.8203125,12836.2373046875,32326.994335113042,12904.8808332947,32828.186822117495,9647147,3689490.0
2018-06-12,12538.7841796875,32890.83984375,12767.594382156532,33830.578125,12149.807301603129,32233.023046875,12721.832341662726,33830.578125,18354860,3417390.0
2018-06-13,12561.666015625,33016.13671875,12698.952140926946,33830.57777775801,12378.617848555741,32734.21523726868,12538.784528628346,32890.83950615362,6025417,2318010.0
2018-06-14,12264.2119140625,32890.83984375,12653.188761861244,33360.708984375,12264.2119140625,32420.970703125,12538.783203421328,33360.708984375,6742712,1851390.0
2018-06-15,12401.498046875,32953.48828125,12447.260087326995,33047.4621036577,12035.402655485012,32420.96873065557,12126.926736389001,33047.4621036577,6073437,2170380.0
2018-06-18,11829.4736328125,31324.60546875,12493.02180382092,32890.83702698582,11829.4736328125,30698.113946711375,12355.73568602492,32608.915566754513,9601484,2477430.0
2018-06-19,11623.5439453125,29758.376953125,11692.187470059534,30384.870336004264,11005.757815944828,29131.885405671987,11669.305984401877,29789.70217289684,17222928,6278160.0
2018-06-20,11966.7587890625,29821.02734375,12012.520828215711,30228.246022984644,11486.258776292698,29163.210577604237,11715.068039832811,29758.376904309098,7384223,1664610.0
2018-06-21,11600.6640625,29821.02734375,11989.640951132975,29883.67594776466,11577.782575519594,29225.859181618893,11943.878909398154,29883.67594776466,5089571,1493370.0
2018-06-22,11852.3544921875,29758.376953125,11852.3544921875,29789.70217289684,11440.497060397276,29319.833053450515,11440.497060397276,29789.70217289684,6293678,986130.0
2018-06-25,12058.283203125,30040.296875,12241.331364834716,30384.868768434848,11989.64060859684,29977.648274114646,12081.164689451698,30071.62209315576,8278808,2755020.0
2018-06-26,11898.1162109375,29758.376953125,12012.520842846901,29915.00121655794,11783.7115790281,29507.780701229043,11898.1162109375,29570.42930534647,4734469,1481370.0
2018-06-27,11440.4970703125,29319.833984375,12035.402664403287,29758.377897973547,11440.4970703125,29288.508763608563,11920.99802930151,29288.508763608563,4787871,1184580.0
2018-06-28,11120.1630859375,28881.2890625,11554.902016130936,29288.507741115678,11005.758447759328,27722.27795971991,11440.497377952766,29131.885313603976,11533963,3957690.0
2018-06-29,11097.2822265625,28724.666015625,11371.853537098094,28818.63984319567,11028.638699759127,27252.40999549333,11257.448902060427,28505.394974910992,6531504,4751100.0
2018-07-02,10571.01953125,27534.33203125,11074.401058556765,28755.991814206485,10387.971364147179,27252.410542875426,10982.876975005354,28755.991814206485,12354808,2008710.0
2018-07-03,9838.828125,25623.529296875,10662.543972359192,27659.630085363486,9838.828125,25623.529296875,10571.019885738611,27409.03199222338,26292230,6336690.0
2018-07-04,10021.8740234375,25372.931640625,10021.8740234375,25372.931640625,9610.01662104528,23838.02528759328,10021.8740234375,25216.309217615057,8705439,9923850.0
