Date,Close,High,Low,Open,Volume,Ticker,BTC-USD_Close,Global_Close
2006-12-13,26151.662109375,26151.662109375,26151.662109375,26151.662109375,1212095,FPT.VN,,
2006-12-14,27459.244140625,27459.244140625,27459.244140625,27459.244140625,4073421,FPT.VN,,
2006-12-15,28832.208984375,28832.208984375,28832.208984375,28832.208984375,3849793,FPT.VN,,
2006-12-18,30270.548828125,30270.548828125,30270.548828125,30270.548828125,3131348,FPT.VN,,
2006-12-19,31774.26953125,31774.26953125,31774.26953125,31774.26953125,1995554,FPT.VN,,
2006-12-20,33343.37109375,33343.37109375,33343.37109375,33343.37109375,3194181,FPT.VN,,
2006-12-21,31708.89453125,31708.89453125,31708.89453125,32754.95864865058,2269523,FPT.VN,,
2006-12-22,30139.7890625,30139.7890625,30139.7890625,30139.7890625,2082341,FPT.VN,,
2006-12-25,28636.072265625,28636.072265625,28636.072265625,28636.072265625,321255,FPT.VN,,
2006-12-26,30009.03125,30009.03125,30009.03125,27263.107706001138,4355509,FPT.VN,,
2006-12-27,31381.994140625,31381.994140625,31381.994140625,31381.994140625,5996434,FPT.VN,,
2006-12-28,31381.994140625,31381.994140625,31381.994140625,30728.2022871972,2101781,FPT.VN,,
2006-12-29,30074.412109375,30074.412109375,30074.412109375,30401.308980796413,1012276,FPT.VN,,
2007-01-02,28766.828125,28766.828125,28766.828125,29420.619968089108,1177839,FPT.VN,,
2007-01-03,29420.623046875,29420.623046875,29420.623046875,28766.8311353684,1083381,FPT.VN,,
2007-01-04,30858.962890625,30858.962890625,30858.962890625,30858.962890625,2155035,FPT.VN,,
2007-01-05,32362.681640625,32362.681640625,32362.681640625,32362.681640625,5482307,FPT.VN,,
2007-01-08,32035.787109375,32035.787109375,32035.787109375,33343.370937386215,5100225,FPT.VN,,
2007-01-09,32035.787109375,32035.787109375,32035.787109375,32362.68399287224,3268907,FPT.VN,,
2007-01-10,32362.681640625,32362.681640625,32362.681640625,32035.78478088792,4560119,FPT.VN,,
2007-01-11,32689.580078125,32689.580078125,32689.580078125,32689.580078125,4120000,FPT.VN,,
2007-01-12,34324.05859375,34324.05859375,34324.05859375,34324.05859375,4058904,FPT.VN,,
2007-01-15,36023.9140625,36023.9140625,36023.9140625,34977.8500137739,3980253,FPT.VN,,
2007-01-16,37789.15234375,37789.15234375,37789.15234375,37789.15234375,4930301,FPT.VN,,
2007-01-17,35958.53515625,35958.53515625,35958.53515625,39162.11170797924,2116728,FPT.VN,,
2007-01-18,36023.9140625,36023.9140625,36023.9140625,34193.29827125177,4098379,FPT.VN,,
2007-01-19,37789.15234375,37789.15234375,37789.15234375,37789.15234375,1382750,FPT.VN,,
2007-01-22,39227.49609375,39227.49609375,39227.49609375,39619.77012819307,6698785,FPT.VN,,
2007-01-23,39358.25390625,39358.25390625,39358.25390625,39227.49589543004,3540567,FPT.VN,,
2007-01-24,37919.91015625,37919.91015625,37919.91015625,39358.25190822988,2269817,FPT.VN,,
2007-01-25,37919.91015625,37919.91015625,37919.91015625,37919.91015625,2066660,FPT.VN,,
2007-01-26,37919.91015625,37919.91015625,37919.91015625,37266.12013533983,1875403,FPT.VN,,
2007-01-29,39554.390625,39554.390625,39554.390625,38246.80688191263,2921221,FPT.VN,,
2007-01-30,41188.8671875,41188.8671875,41188.8671875,41188.8671875,4707707,FPT.VN,,
2007-01-31,42169.5546875,42169.5546875,42169.5546875,41711.90352443656,4503240,FPT.VN,,
2007-02-01,40535.078125,40535.078125,40535.078125,42300.313055051294,1667454,FPT.VN,,
2007-02-02,41188.8671875,41188.8671875,41188.8671875,41188.8671875,1153175,FPT.VN,,
2007-02-05,39162.109375,39162.109375,39162.109375,40535.07384907384,1602593,FPT.VN,,
2007-02-06,40861.9765625,40861.9765625,40861.9765625,38573.70581570436,2837496,FPT.VN,,
2007-02-07,41515.765625,41515.765625,41515.765625,39619.76895566948,1690090,FPT.VN,,
2007-02-08,39489.01171875,39489.01171875,39489.01171875,39489.01171875,1507401,FPT.VN,,
2007-02-09,37527.6328125,37527.6328125,37527.6328125,37527.6328125,2820662,FPT.VN,,
2007-02-12,39358.25390625,39358.25390625,39358.25390625,39358.25390625,877760,FPT.VN,,
2007-02-13,41188.8671875,41188.8671875,41188.8671875,41319.625190141545,2330473,FPT.VN,,
2007-02-14,39881.28125,39881.28125,39881.28125,40535.07493303575,1158109,FPT.VN,,
2007-02-15,39881.28125,39881.28125,39881.28125,39881.28125,866588,FPT.VN,,
2007-02-26,41842.6640625,41842.6640625,41842.6640625,41842.6640625,3356561,FPT.VN,,
2007-02-27,43477.14453125,43477.14453125,43477.14453125,43934.79946441643,4203580,FPT.VN,,
2007-02-28,41319.62890625,41319.62890625,41319.62890625,43477.141702839006,1009370,FPT.VN,,
2007-03-01,40208.18359375,40208.18359375,40208.18359375,41188.87054652711,1434409,FPT.VN,,
2007-03-02,42169.5546875,42169.5546875,42169.5546875,40992.73264622291,2371391,FPT.VN,,
2007-03-05,41515.765625,41515.765625,41515.765625,42169.55566305659,1816337,FPT.VN,,
2007-03-06,39489.01171875,39489.01171875,39489.01171875,39554.39257682047,2914984,FPT.VN,,
2007-03-07,39881.28125,39881.28125,39881.28125,40861.97177455363,638169,FPT.VN,,
2007-03-08,39227.49609375,39227.49609375,39227.49609375,39554.39297544141,1239083,FPT.VN,,
2007-03-09,39227.49609375,39227.49609375,39227.49609375,40535.07991453795,813327,FPT.VN,,
2007-03-12,39881.28125,39881.28125,39881.28125,39881.28125,1266943,FPT.VN,,
2007-03-13,39881.28125,39881.28125,39881.28125,40012.04295138896,1082803,FPT.VN,,
2007-03-14,37919.91015625,37919.91015625,37919.91015625,39554.39076749168,833643,FPT.VN,,
2007-03-15,36023.9140625,36023.9140625,36023.9140625,36023.9140625,1488684,FPT.VN,,
2007-03-16,37789.15234375,37789.15234375,37789.15234375,36023.91371937227,1481570,FPT.VN,,
2007-03-19,37789.15234375,37789.15234375,37789.15234375,39227.49410302574,1534244,FPT.VN,,
2007-03-20,36743.08203125,36743.08203125,36743.08203125,37266.11772005677,1457339,FPT.VN,,
2007-03-21,34977.8515625,34977.8515625,34977.8515625,34912.47070357095,1653375,FPT.VN,,
2007-03-22,36285.4296875,36285.4296875,36285.4296875,35304.74289945637,2029079,FPT.VN,,
2007-03-23,36285.4296875,36285.4296875,36285.4296875,36285.4296875,1734499,FPT.VN,,
2007-03-26,35304.74609375,35304.74609375,35304.74609375,35304.74609375,1561820,FPT.VN,,
2007-03-27,33539.50390625,33539.50390625,33539.50390625,33670.26189544198,913743,FPT.VN,,
2007-03-28,33539.50390625,33539.50390625,33539.50390625,31905.023482384637,1831287,FPT.VN,,
2007-03-29,35173.984375,35173.984375,35173.984375,33539.50748281537,1702866,FPT.VN,,
2007-03-30,35370.12109375,35370.12109375,35370.12109375,35827.77593003776,1312653,FPT.VN,,
2007-04-02,33997.16015625,33997.16015625,33997.16015625,33997.16015625,835380,FPT.VN,,
2007-04-03,32689.580078125,32689.580078125,32689.580078125,32689.580078125,941748,FPT.VN,,
2007-04-04,33604.88671875,33604.88671875,33604.88671875,33604.88671875,343882,FPT.VN,,
2007-04-05,33670.26171875,33670.26171875,33670.26171875,33670.26171875,733074,FPT.VN,,
2007-04-06,33343.37109375,33343.37109375,33343.37109375,33343.37109375,564162,FPT.VN,,
2007-04-09,33670.26171875,33670.26171875,33670.26171875,33670.26171875,704773,FPT.VN,,
2007-04-10,34062.54296875,34062.54296875,34062.54296875,34062.54296875,1209187,FPT.VN,,
2007-04-11,34324.05859375,34324.05859375,34324.05859375,34324.05859375,652239,FPT.VN,,
2007-04-12,35304.74609375,35304.74609375,35304.74609375,35304.74609375,1162310,FPT.VN,,
2007-04-13,33997.16015625,33997.16015625,33997.16015625,33997.16015625,2164603,FPT.VN,,
2007-04-16,34324.05859375,34324.05859375,34324.05859375,34324.05859375,1481275,FPT.VN,,
2007-04-17,33670.26171875,33670.26171875,33670.26171875,33670.26171875,449818,FPT.VN,,
2007-04-18,33997.16015625,33997.16015625,33997.16015625,33997.16015625,913884,FPT.VN,,
