Date,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
2020-03-17,9820.87890625,33.56386947631836,4840.61181640625,7105.77197265625,10083.93816266741,35.42147445678711,4840.61181640625,7539.34472595265,8417.896205357143,32.78666687011719,4565.247671161584,6752.490971064348,9207.073974609375,32.9030876159668,4637.71191991018,6752.490971064348,1626550.0,3289527849.0,30409053.0,3642673.0
2020-03-18,9207.07421875,33.68417739868164,4782.64013671875,7033.51025390625,10083.938430059525,34.1390495300293,4913.07577681108,7186.06327623527,9163.231008184524,32.78159713745117,4782.64013671875,6921.102174460642,10083.938430059525,33.5556640625,4913.07577681108,7145.917866816013,1432550.0,3170415992.0,17195596.0,2303483.0
2020-03-19,8593.2685546875,39.07376480102539,4666.69775390625,6800.66552734375,9031.700623804209,40.22984313964844,4753.654854910714,6977.306263098525,8593.2685546875,33.71287536621094,4637.712053571428,6744.4619537627705,9031.700623804209,33.721717834472656,4695.683454241072,6832.782321640158,858400.0,4157185543.0,12616346.0,3133567.0
2020-03-20,8005.7685546875,38.131954193115234,4637.7119140625,6792.63623046875,8768.64025705093,43.326026916503906,4724.6690124511715,6985.335124006362,7996.999914430449,35.58586883544922,4623.219064331055,6752.490822038344,8593.267451909913,39.10809326171875,4681.190463256836,6824.752557213074,1380930.0,4537692970.0,14142426.0,2356604.0
2020-03-23,7453.3447265625,38.76576614379883,4318.86962890625,6318.91845703125,7567.337057674632,38.845855712890625,4521.7695443582215,6792.636637581205,7453.3447265625,35.416385650634766,4318.86962890625,6318.91845703125,7558.568416819852,35.577430725097656,4405.826735528523,6543.733690787349,1698240.0,3598154774.0,31276523.0,5508367.0
2020-03-24,7628.71826171875,40.49064636230469,4289.8837890625,6045.927734375,7795.322453641344,40.75464630126953,4347.855191617398,6262.7143335185765,7234.129386112608,38.268035888671875,4188.4338345914275,5989.724164124897,7234.129386112608,38.74799346923828,4347.855191617398,6029.869571446399,683830.0,3331925793.0,24107287.0,7115117.0
2020-03-25,7804.0908203125,39.151222229003906,4536.26220703125,6302.85986328125,7979.463647735253,40.696136474609375,4536.26220703125,6359.06390115901,7637.486634260886,38.545745849609375,4362.348001010882,6238.626743783214,7716.404406601124,40.47945785522461,4434.812253519369,6326.947108142078,1559590.0,3133347522.0,22523934.0,2925936.0
2020-03-26,7497.1884765625,40.16059875488281,4362.34765625,6102.1318359375,7883.008702256944,40.17046356201172,4507.276149813123,6262.714399999801,7497.1884765625,38.78725814819336,4362.34765625,6102.1318359375,7716.404513888889,39.17296600341797,4492.78330045681,6262.714399999801,811930.0,2827963692.0,15049768.0,2533783.0
2020-03-27,7418.2705078125,38.91847610473633,4231.91259765625,6118.1904296875,7891.777135970744,40.595191955566406,4391.333962636451,6415.267867538546,7330.584095190602,38.88597106933594,4202.926894932577,6061.986388348823,7541.031485483156,40.18333435058594,4376.841111274614,6061.986388348823,612810.0,2962853270.0,17492818.0,3922442.0
2020-03-30,7277.97216796875,39.13829040527344,3942.055419921875,5732.79248046875,7541.031402955573,39.324710845947266,4086.983928007238,6021.8408290671105,6900.920597820972,37.26072692871094,3942.055419921875,5692.647070886691,7234.128962137614,37.264854431152344,4057.998226390165,5780.967438503067,1792710.0,3318334905.0,23699651.0,7522204.0
2020-03-31,7348.1220703125,39.299102783203125,3927.5625,5692.64697265625,7628.718617150209,39.37229919433594,4086.983856088561,5877.316786618811,7014.913670942721,38.681514739990234,3811.6196955719556,5499.9480769158245,7014.913670942721,39.119136810302734,4000.026752767528,5732.792381545572,572600.0,3359087002.0,18505728.0,3958737.0
