Date,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2020-12-10,144.7100067138672,321.989990234375,165.0,322.0899963378906,141.25,300.07000732421875,146.0,301.0,70447500.0,4435900
2020-12-11,139.25,330.8699951171875,151.5,331.8699951171875,135.10000610351562,316.8999938964844,146.5500030517578,321.0,26980800.0,5441700
2020-12-14,130.0,324.32000732421875,135.3000030517578,336.1700134277344,125.16000366210938,319.3699951171875,135.0,332.9989929199219,16966100.0,4124700
2020-12-15,124.80000305175781,320.1400146484375,127.5999984741211,331.1000061035156,121.5,319.010009765625,126.69000244140625,325.4100036621094,10914400.0,3372600
2020-12-16,137.99000549316406,325.82000732421875,142.0,327.9599914550781,124.91000366210938,320.2699890136719,125.83000183105469,321.20001220703125,20409600.0,3349700
2020-12-17,147.0500030517578,329.4800109863281,152.4499969482422,352.1199951171875,142.6699981689453,326.5,143.0,346.6499938964844,15054700.0,14082100
2020-12-18,157.3000030517578,340.7099914550781,159.0,343.6000061035156,150.3000030517578,329.4800109863281,150.4499969482422,331.9800109863281,15954200.0,6843500
2020-12-21,163.02000427246094,354.0,172.0,358.7900085449219,145.11000061035156,341.5400085449219,155.30999755859375,344.0,17788100.0,6435200
2020-12-22,163.19000244140625,354.7099914550781,174.97000122070312,361.6830139160156,161.0500030517578,344.48199462890625,170.0,356.3299865722656,9872600.0,5471000
2020-12-23,158.00999450683594,360.55999755859375,168.25,361.0400085449219,155.5,344.2099914550781,162.81399536132812,355.0,5852500.0,3781600
2020-12-24,154.83999633789062,356.989990234375,162.7899932861328,363.44000244140625,154.11199951171875,355.1300048828125,159.16000366210938,360.1719970703125,3621400.0,1846100
2020-12-28,149.0,340.4100036621094,163.63999938964844,361.0,147.52000427246094,339.1199951171875,158.60000610351562,359.5,6229200.0,4726500
2020-12-29,150.0,339.57000732421875,151.6510009765625,344.94000244140625,143.1199951171875,332.04998779296875,150.0,339.9599914550781,5402300.0,3639100
2020-12-30,148.42999267578125,338.739990234375,152.81300354003906,344.44000244140625,145.60000610351562,333.5,151.33999633789062,339.1669921875,3462400.0,3215300
2020-12-31,146.8000030517578,332.0199890136719,147.88999938964844,339.9100036621094,144.50999450683594,330.8179931640625,146.89999389648438,337.5,2795800.0,2086400
2021-01-04,139.14999389648438,317.8999938964844,151.0050048828125,340.0,137.0,316.4599914550781,150.99000549316406,339.9800109863281,6409900.0,4919700
2021-01-05,148.3000030517578,335.17999267578125,149.0,335.3800048828125,137.25,320.5,138.27999877929688,320.79998779296875,5974200.0,4506500
2021-01-06,142.77000427246094,342.95001220703125,148.35000610351562,347.9540100097656,141.11000061035156,320.2099914550781,145.75,325.0400085449219,4213900.0,7546900
2021-01-07,151.27000427246094,379.2900085449219,154.4199981689453,379.3900146484375,145.26100158691406,352.0,146.3699951171875,352.010009765625,4482800.0,8091000
2021-01-08,149.77000427246094,399.1300048828125,155.5399932861328,402.8500061035156,147.25,387.17498779296875,153.4499969482422,391.3500061035156,4615600.0,8410800
2021-01-11,148.1300048828125,403.1300048828125,150.5,416.2200012207031,144.02000427246094,390.0299987792969,147.99000549316406,390.29998779296875,2801900.0,5850700
2021-01-12,160.8000030517578,415.2900085449219,163.8800048828125,419.75,143.61000061035156,405.55999755859375,148.0800018310547,407.8999938964844,8123600.0,4756200
2021-01-13,169.99000549316406,408.6000061035156,178.6199951171875,423.0,159.35000610351562,404.50299072265625,160.80999755859375,419.29998779296875,12529700.0,4036900
2021-01-14,180.5,418.4599914550781,187.4199981689453,422.5199890136719,174.97500610351562,410.1090087890625,175.5399932861328,410.80999755859375,9926500.0,3416900
2021-01-15,169.27000427246094,408.29998779296875,185.9949951171875,425.989990234375,164.86000061035156,407.0899963378906,184.5800018310547,418.0,8575700.0,3365900
2021-01-19,173.69000244140625,434.1400146484375,178.60000610351562,438.3599853515625,166.60000610351562,420.0920104980469,173.0,420.7300109863281,4685400.0,6043300
2021-01-20,161.8300018310547,428.5,176.30999755859375,448.1700134277344,161.0,425.6050109863281,176.00999450683594,442.82000732421875,8517400.0,4353000
2021-01-21,180.39999389648438,423.6400146484375,183.47000122070312,431.0,155.3300018310547,418.885986328125,164.99000549316406,429.30999755859375,17618400.0,3272700
2021-01-22,181.8699951171875,422.8500061035156,185.3070068359375,429.8900146484375,175.19000244140625,418.3299865722656,178.08999633789062,422.0,7136800.0,2989800
2021-01-25,177.52999877929688,426.6400146484375,192.47000122070312,443.8500061035156,170.02999877929688,415.010009765625,186.0500030517578,430.8900146484375,7472900.0,4770300
2021-01-26,192.74000549316406,403.3999938964844,193.0,429.3900146484375,177.3000030517578,400.30999755859375,180.0,424.9800109863281,6460900.0,4229800
2021-01-27,201.25,402.260009765625,216.0,420.0,185.5,383.6000061035156,187.63999938964844,394.95001220703125,11019800.0,5698400
2021-01-28,187.3699951171875,404.010009765625,212.83999633789062,409.114013671875,187.0500030517578,392.1839904785156,202.60000610351562,409.1000061035156,7077700.0,3558800
2021-01-29,183.6300048828125,389.0299987792969,193.5,406.5899963378906,179.30999755859375,384.0299987792969,190.7100067138672,400.20001220703125,4529800.0,3853200
2021-02-01,180.44000244140625,416.20001220703125,188.82000732421875,416.3399963378906,179.74000549316406,393.19000244140625,187.47999572753906,395.3299865722656,3877400.0,3774500
2021-02-02,179.1699981689453,418.75,186.47900390625,420.57000732421875,177.11000061035156,409.0,183.22000122070312,420.0,4413600.0,2750400
2021-02-03,185.72000122070312,425.07000732421875,190.89999389648438,432.6099853515625,180.0,421.875,181.97999572753906,422.4949951171875,4169000.0,2400500
2021-02-04,195.8000030517578,432.67999267578125,195.99000549316406,432.75,186.19000244140625,420.9960021972656,187.07000732421875,427.8900146484375,3631500.0,1887300
2021-02-05,195.30999755859375,439.8900146484375,197.25,443.20001220703125,190.25,430.9119873046875,197.0,435.2099914550781,2869700.0,2646200
2021-02-08,200.42999267578125,434.6300048828125,201.9600067138672,449.19500732421875,191.5,431.82000732421875,199.92999267578125,444.0199890136719,3488100.0,3050700
2021-02-09,199.8800048828125,467.29998779296875,209.22000122070312,484.8500061035156,196.16000366210938,433.5299987792969,199.2030029296875,436.4599914550781,4725800.0,8053700
2021-02-10,211.66000366210938,469.69000244140625,214.71600341796875,478.6499938964844,202.0970001220703,449.4200134277344,205.47999572753906,469.2200012207031,5257200.0,4002500
2021-02-11,216.83999633789062,465.69000244140625,219.94000244140625,479.95001220703125,207.0,462.9549865722656,213.5,474.3900146484375,3595200.0,2797000
2021-02-12,212.67999267578125,468.6700134277344,216.94000244140625,470.3500061035156,209.0,457.05999755859375,214.45799255371094,463.8500061035156,3041700.0,2115700
2021-02-16,209.86000061035156,469.70001220703125,218.77999877929688,486.7200012207031,209.08999633789062,466.2799987792969,216.24000549316406,476.989990234375,3487900.0,3726500
2021-02-17,201.9600067138672,456.9700012207031,208.76499938964844,457.25,196.02000427246094,436.0,207.0500030517578,456.2200012207031,4090600.0,3912000
2021-02-18,198.0399932861328,452.989990234375,200.36000061035156,462.5,192.1699981689453,441.7699890136719,199.00999450683594,448.5,2791400.0,4890400
2021-02-19,201.07000732421875,467.30999755859375,205.5500030517578,472.82598876953125,200.17999267578125,442.7699890136719,203.9499969482422,462.0299987792969,2605800.0,7685500
2021-02-22,195.33999633789062,437.2799987792969,205.0,483.70001220703125,193.5,434.010009765625,200.6999969482422,458.7749938964844,3674200.0,7795600
2021-02-23,187.58999633789062,415.8699951171875,191.6699981689453,424.3999938964844,175.0,381.0299987792969,189.0,413.010009765625,5902400.0,7254000
2021-02-24,200.1999969482422,413.7900085449219,208.14500427246094,419.9989929199219,189.0,400.0,190.97999572753906,410.0,5983500.0,3667300
2021-02-25,182.05999755859375,382.3399963378906,199.8000030517578,418.9419860839844,180.0,378.0,197.41000366210938,406.239990234375,11568500.0,5348600
