Date,Close,High,Low,Open,Volume
2010-02-22,11348.3388671875,11473.873688641203,11298.124772083294,11298.124772083294,959431
2010-02-23,11348.3388671875,11348.3388671875,11197.697414488508,11348.3388671875,1607022
2010-02-24,11674.728515625,11674.728515625,11247.909982512256,11373.444796215206,2404641
2010-02-25,11800.2626953125,11800.2626953125,11498.978992090355,11674.7278883544,2257498
2010-02-26,12302.400390625,12302.400390625,11724.941310606697,11750.047937524541,3043164
2010-03-01,12503.2578125,12553.471906614634,12302.402268655074,12302.402268655074,1934213
2010-03-02,11900.6904296875,12277.294862852208,11900.6904296875,12201.974142741978,1487827
2010-03-03,12001.119140625,12051.332401169679,11800.263600605505,11925.798417194388,681039
2010-03-04,11825.37109375,12051.333280529814,11825.37109375,12051.333280529814,611865
2010-03-05,11775.1552734375,11925.797541855356,11775.1552734375,11775.1552734375,447438
2010-03-08,11775.1552734375,11900.690080812281,11674.727927105794,11775.1552734375,1187633
2010-03-09,12051.33203125,12051.33203125,11775.155776277217,11775.155776277217,1437738
2010-03-10,12026.2255859375,12076.439678323493,11976.011493551507,12001.118956051294,911278
2010-03-11,11925.7978515625,12101.545920360459,11925.7978515625,12101.545920360459,308581
2010-03-12,11925.7978515625,12001.118571420704,11825.369670009191,12001.118571420704,679341
2010-03-15,11800.2626953125,11950.904130616807,11800.2626953125,11925.797502270598,1140736
2010-03-16,11498.9794921875,11674.728396094964,11498.9794921875,11674.728396094964,982795
2010-03-17,11298.1240234375,11674.728462843725,11298.1240234375,11549.193649708317,722129
2010-03-18,11323.23046875,11423.657810671308,11273.0163814826,11298.12300880955,891956
2010-03-19,11197.6962890625,11323.231097899308,11197.6962890625,11323.231097899308,1107661
2010-03-22,11247.908203125,11498.9777908124,11172.587493341467,11172.587493341467,652480
2010-03-23,11273.0166015625,11549.192838004674,11247.909141131886,11273.0166015625,681922
2010-03-24,11348.3388671875,11348.3388671875,11247.910676979089,11298.124772083294,422207
2010-03-25,11097.26953125,11273.01845266943,11047.055434756783,11197.69772423643,459697
2010-03-26,11423.658203125,11423.658203125,11047.05378460169,11423.658203125,967310
2010-03-29,11273.0166015625,11423.658033692138,11247.909141131886,11323.230689810216,560995
2010-03-30,11097.26953125,11247.910988115998,11097.26953125,11172.590259682998,404378
2010-03-31,11047.0546875,11247.910227272727,11047.0546875,11072.162150355085,505507
2010-04-01,11097.26953125,11097.26953125,11021.948802817,11097.26953125,910124
2010-04-02,11122.375,11298.12305726948,11047.053452469081,11298.12305726948,646843
2010-04-05,11222.8046875,11298.125418156646,11172.590589524345,11273.018785475655,902551
2010-04-06,11172.5888671875,11247.909586232903,11172.5888671875,11222.802957422284,844040
2010-04-07,11122.375,11172.58825486928,11072.16091251722,11172.58825486928,568296
2010-04-08,11021.9482421875,11122.37643006567,11021.9482421875,11047.05487285024,904317
2010-04-09,11047.0546875,11097.26878059658,10946.62733392043,10946.62733392043,781183
2010-04-12,11172.5888671875,11172.5888671875,11047.054057907315,11072.16151933148,1003612
2010-04-13,11172.5888671875,11172.5888671875,11021.947429096695,11097.268148142099,397587
2010-04-14,10946.6259765625,11021.946690560968,10921.519349434173,11021.946690560968,284844
2010-04-15,10946.6259765625,11047.053317689295,10921.519349434173,11047.053317689295,1021576
2010-04-16,10846.1982421875,10971.733048141361,10846.1982421875,10946.626419995997,769909
2010-04-19,10745.7724609375,10821.093188949328,10745.7724609375,10795.986557149932,524897
2010-04-20,10645.3427734375,10770.877580031143,10620.236145164183,10745.770951757824,682126
2010-04-21,10670.4501953125,10670.4501953125,10620.236106335924,10620.236106335924,497934
2010-04-22,10996.8408203125,11122.375629821297,10720.664572438563,10745.771201294905,714420
2010-04-23,10996.8408203125,10996.8408203125,10996.8408203125,10996.8408203125,0
2010-04-26,10896.412109375,11047.053540409019,10896.412109375,10996.840285140015,698765
2010-04-27,11021.9482421875,11047.05487285024,10896.413423646592,10921.520886922937,928563
2010-04-28,10921.521484375,10996.842213097178,10896.414019725175,10971.73474844735,378943
2010-04-29,10795.9853515625,10871.306071163264,10795.9853515625,10846.198609553976,569315
2010-04-30,10795.9853515625,10795.9853515625,10795.9853515625,10795.9853515625,0
2010-05-03,10795.9853515625,10795.9853515625,10795.9853515625,10795.9853515625,0
2010-05-04,11097.26953125,11273.01845266943,10795.986617518001,10795.986617518001,1124232
2010-05-05,10871.306640625,11047.054718028317,10871.306640625,11047.054718028317,349603
2010-05-06,10770.876953125,10871.305125600022,10770.876953125,10795.984412550493,711364
2010-05-07,10670.4501953125,10720.664284289076,10595.129478154397,10670.4501953125,969279
2010-05-10,10670.4501953125,10695.556823494027,10469.594672019719,10620.236106335924,1505418
2010-05-11,10670.4501953125,10795.98500144718,10595.129478154397,10795.98500144718,888458
