Date,Close,Close,Close,High,High,High,Low,Low,Low,Open,Open,Open,Volume,Volume,Volume
2019-01-14,32.35824203491211,4697.931640625,12525.4287109375,32.73394775390625,4772.109841188768,12686.010340786333,30.310152053833008,4673.205856478424,12284.554400020963,30.378097534179688,4735.020528875874,12605.719525861918,593098938.0,16698738.0,5964696.0
2019-01-15,31.507068634033203,4821.5615234375,12605.7197265625,32.706947326660156,4858.650836626984,12686.010542765258,31.079927444458008,4697.931751658642,12324.70000370953,32.38420486450195,4697.931751658642,12565.57431846112,527294088.0,20752209.0,2581716.0
2019-01-16,31.82341766357422,4809.19873046875,12525.4287109375,32.24639129638672,4883.376506986372,12605.719525861918,31.26805877685547,4784.472522254863,12485.282370403647,31.438589096069336,4846.2876187275615,12605.719525861918,539347966.0,8801733.0,2550467.0
2019-01-17,31.88865089416504,4883.3759765625,12525.4287109375,31.94688606262207,4945.1906422589755,12605.719525861918,30.6761474609375,4809.19820810194,12404.991555479231,31.850112915039062,4809.19820810194,12485.282370403647,609389197.0,23447428.0,2515207.0
2019-01-18,31.311487197875977,4883.3759765625,12204.263671875,31.940603256225586,4920.46486079278,12485.282459180287,30.955570220947266,4846.28709233222,12204.263671875,31.913450241088867,4908.101758028695,12445.137051432625,566482194.0,10682212.0,1724048.0
2019-01-21,31.21286964416504,5192.451171875,12324.7001953125,31.389184951782227,5217.176956172814,12485.282763286134,30.956666946411133,5019.36940960423,11883.098833188764,31.188655853271484,5068.82097819986,12204.263969136031,531048792.0,35021865.0,2162456.0
2019-01-22,31.684425354003906,5093.54736328125,12445.1376953125,32.019771575927734,5204.814032574867,12485.283105137185,30.324674606323242,5093.54736328125,12324.70053276675,31.21330451965332,5192.451352028045,12324.70053276675,589374367.0,20023453.0,2104086.0
2019-01-23,32.001956939697266,5118.2734375,12445.1376953125,32.386165618896484,5142.999648114171,12445.1376953125,31.558425903320312,5068.821440333718,12324.70053276675,31.669023513793945,5081.184545640804,12445.1376953125,613521888.0,8635420.0,1162915.0
2019-01-24,32.77610778808594,5241.90234375,12364.8466796875,33.0421257019043,5241.90234375,12445.137498064305,31.427627563476562,5118.2725834935,12324.700337427414,32.042972564697266,5130.635686737747,12364.8466796875,614405338.0,17253490.0,615360.0
2019-01-25,32.9818115234375,5229.5400390625,12364.8466796875,33.2095947265625,5266.628927389239,12364.8466796875,32.273338317871094,5204.813830803328,12284.55492823901,32.8204345703125,5241.9027191300665,12364.8466796875,661476020.0,11629370.0,517888.0
2019-01-28,31.19925880432129,5204.8134765625,12645.865234375,32.71674728393555,5241.902362364961,12726.156984282507,30.52311134338379,5180.08769404819,12364.846442377888,32.51712417602539,5217.176579850651,12364.846442377888,812860294.0,10093425.0,3647207.0
2019-01-29,31.097110748291016,5266.62890625,13087.466796875,31.457534790039062,5278.9915862679445,13167.758548032574,30.43724822998047,5142.999137636423,12565.574613173329,31.235544204711914,5192.451129894257,12686.01084030217,707842400.0,13932217.0,5926473.0
2019-01-30,31.930953979492188,5390.2587890625,13488.923828125,32.08937454223633,5402.621469342363,13930.525198376668,30.86351776123047,5241.902809145903,13087.46693426603,31.066558837890625,5266.629017829682,13087.46693426603,694822148.0,23590840.0,8987998.0
2019-01-31,31.652175903320312,5414.984375,13207.9033203125,32.43729782104492,5476.79947037933,13609.359257530838,31.39546012878418,5402.621271111731,13167.757913204994,31.89085578918457,5439.710582776536,13488.923036208318,654137406.0,25781817.0,2811232.0
2019-02-01,32.82707977294922,5402.62109375,13288.1953125,33.44944381713867,5427.347300714804,13408.631536042154,31.12713623046875,5365.532207364791,13127.612748038808,31.71952247619629,5390.258414329595,13127.612748038808,825977656.0,13865341.0,1926848.0
2019-02-04,34.10862731933594,5402.62109375,13288.1953125,34.42838668823242,5402.62109375,13288.1953125,33.464359283447266,5402.62109375,13288.1953125,33.464359283447266,5402.62109375,13288.1953125,740036504.0,0.0,0.0
2019-02-05,34.25664520263672,5402.62109375,13288.1953125,34.38839340209961,5402.62109375,13288.1953125,33.777740478515625,5402.62109375,13288.1953125,34.00916290283203,5402.62109375,13288.1953125,708712284.0,0.0,0.0
2019-02-06,32.932987213134766,5402.62109375,13288.1953125,34.34730529785156,5402.62109375,13288.1953125,32.54347610473633,5402.62109375,13288.1953125,34.34730529785156,5402.62109375,13288.1953125,748545366.0,0.0,0.0
2019-02-07,33.22241973876953,5402.62109375,13288.1953125,33.59257888793945,5402.62109375,13288.1953125,32.87847137451172,5402.62109375,13288.1953125,32.9053955078125,5402.62109375,13288.1953125,652002936.0,0.0,0.0
2019-02-08,43.4647216796875,5402.62109375,13288.1953125,43.90346908569336,5402.62109375,13288.1953125,33.00557327270508,5402.62109375,13288.1953125,33.23527145385742,5402.62109375,13288.1953125,1721691113.0,0.0,0.0
2019-02-11,43.18254089355469,5452.0732421875,13609.359375,46.881832122802734,5464.436346029474,13729.796530433709,42.397342681884766,5414.984354723586,13368.485997204227,46.881832122802734,5427.34745856556,13368.485997204227,1229169302.0,14888754.0,4465332.0
2019-02-12,43.92864227294922,5439.7109375,13569.2138671875,44.14329147338867,5476.7998275213595,13649.50468150171,42.54317855834961,5365.532733395243,13529.068460030396,43.16887283325195,5476.7998275213595,13649.50468150171,1098569294.0,28672642.0,3196946.0
2019-02-13,41.997642517089844,5439.7109375,13529.0693359375,44.51005172729492,5464.436722826893,13569.214745693722,41.416805267333984,5427.347832805534,13408.632173597136,43.83333969116211,5439.7109375,13569.214745693722,1087815590.0,27374663.0,4660170.0
2019-02-14,41.64054870605469,5464.4365234375,13529.0693359375,42.5533561706543,5464.4365234375,13810.088137302755,41.26705551147461,5427.3476347694605,13408.632173597136,41.87549591064453,5439.710739012815,13488.923926181278,997741394.0,17746212.0,6056981.0
2019-02-15,42.699668884277344,5452.0732421875,13448.77734375,43.6757926940918,5476.799449871449,13649.505322026642,41.61971664428711,5439.710562407535,13448.77734375,41.64327621459961,5464.436346029474,13609.359912985648,1043820661.0,16844082.0,3636592.0
2019-02-18,48.043174743652344,5452.0732421875,13448.77734375,49.21957778930664,5452.0732421875,13448.77734375,43.842010498046875,5452.0732421875,13448.77734375,43.88195037841797,5452.0732421875,13448.77734375,1462180271.0,0.0,0.0
2019-02-19,47.86467742919922,5427.34765625,13609.359375,49.18318176269531,5464.436545064831,14131.25247111721,47.268829345703125,5414.984551957715,13569.213967545978,48.13616943359375,5464.436545064831,14050.961656209167,1417050580.0,47933760.0,4405510.0
