Date,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
2020-03-17,9820.87890625,33.56386947631836,4840.61181640625,24738.787109375,7105.77197265625,54130.390625,10083.93816266741,35.42147445678711,4840.61181640625,24738.787109375,7539.34472595265,57544.71009036145,8417.896205357143,32.78666687011719,4565.247671161584,23132.93601631031,6752.490971064348,54092.02748493976,9207.073974609375,32.9030876159668,4637.71191991018,23132.93601631031,6752.490971064348,54092.02748493976,1626550.0,3289527849.0,30409053.0,2480959.0,3642673.0,50640.0
2020-03-18,9207.07421875,33.68417739868164,4782.64013671875,24912.39453125,7033.51025390625,52173.875,10083.938430059525,34.1390495300293,4913.07577681108,25389.809757458625,7186.06327623527,55971.82619485295,9163.231008184524,32.78159713745117,4782.64013671875,24738.788994446862,6921.102174460642,52173.875,10083.938430059525,33.5556640625,4913.07577681108,24738.788994446862,7145.917866816013,54130.395312500004,1432550.0,3170415992.0,17195596.0,1554759.0,2303483.0,98460.0
2020-03-19,8593.2685546875,39.07376480102539,4666.69775390625,23610.353515625,6800.66552734375,48721.19140625,9031.700623804209,40.22984313964844,4753.654854910714,24521.782603544347,6977.306263098525,52941.13711860236,8593.2685546875,33.71287536621094,4637.712053571428,23436.747975068934,6744.4619537627705,48721.19140625,9031.700623804209,33.721717834472656,4695.683454241072,24521.782603544347,6832.782321640158,50063.90140563484,858400.0,4157185543.0,12616346.0,934439.0,3133567.0,81480.0
2020-03-20,8005.7685546875,38.131954193115234,4637.7119140625,23870.763671875,6792.63623046875,48337.55859375,8768.64025705093,43.326026916503906,4724.6690124511715,23914.16506036932,6985.335124006362,50255.71568080357,7996.999914430449,35.58586883544922,4623.219064331055,23176.34145596591,6752.490822038344,46074.13323102678,8593.267451909913,39.10809326171875,4681.190463256836,23436.749786931818,6824.752557213074,48721.19001116071,1380930.0,4537692970.0,14142426.0,1616139.0,2356604.0,103880.0
2020-03-23,7453.3447265625,38.76576614379883,4318.86962890625,22221.505859375,6318.91845703125,44961.60546875,7567.337057674632,38.845855712890625,4521.7695443582215,23002.730674743652,6792.636637581205,48145.74647037649,7453.3447265625,35.416385650634766,4318.86962890625,22221.505859375,6318.91845703125,44961.60546875,7558.568416819852,35.577430725097656,4405.826735528523,23002.730674743652,6543.733690787349,46419.40496347056,1698240.0,3598154774.0,31276523.0,1862579.0,5508367.0,76460.0
2020-03-24,7628.71826171875,40.49064636230469,4289.8837890625,22308.310546875,6045.927734375,44309.43359375,7795.322453641344,40.75464630126953,4347.855191617398,22785.72575313108,6262.7143335185765,45959.04887040044,7234.129386112608,38.268035888671875,4188.4338345914275,21830.89534061892,5989.724164124897,42774.90775500541,7234.129386112608,38.74799346923828,4347.855191617398,22351.711929261917,6029.869571446399,42966.72348484849,683830.0,3331925793.0,24107287.0,1649499.0,7115117.0,49040.0
2020-03-25,7804.0908203125,39.151222229003906,4536.26220703125,23827.361328125,6302.85986328125,46035.76953125,7979.463647735253,40.696136474609375,4536.26220703125,23827.361328125,6359.06390115901,47186.66376953125,7637.486634260886,38.545745849609375,4362.348001010882,23002.734979792807,6238.626743783214,44462.88073893229,7716.404406601124,40.47945785522461,4434.812253519369,23393.34746058174,6326.947108142078,44501.243880208334,1559590.0,3133347522.0,22523934.0,2385639.0,2925936.0,275820.0
2020-03-26,7497.1884765625,40.16059875488281,4362.34765625,23349.943359375,6102.1318359375,47953.9296875,7883.008702256944,40.17046356201172,4507.276149813123,24478.379283805763,6262.714399999801,48567.7399875,7497.1884765625,38.78725814819336,4362.34765625,23349.943359375,6102.1318359375,46035.7725,7716.404513888889,39.17296600341797,4492.78330045681,23870.759939881504,6262.714399999801,46611.21965625,811930.0,2827963692.0,15049768.0,2191939.0,2533783.0,376160.0
2020-03-27,7418.2705078125,38.91847610473633,4231.91259765625,22525.318359375,6118.1904296875,49718.62890625,7891.777135970744,40.595191955566406,4391.333962636451,23653.754346549857,6415.267867538546,50754.43367513021,7330.584095190602,38.88597106933594,4202.926894932577,22178.10728639812,6061.986388348823,47953.92448519483,7541.031485483156,40.18333435058594,4376.841111274614,23480.148810061415,6061.986388348823,47953.92448519483,612810.0,2962853270.0,17492818.0,1872239.0,3922442.0,291140.0
2020-03-30,7277.97216796875,39.13829040527344,3942.055419921875,20962.8671875,5732.79248046875,46457.76953125,7541.031402955573,39.324710845947266,4086.983928007238,21700.690670289856,6021.8408290671105,49872.089505057804,6900.920597820972,37.26072692871094,3942.055419921875,20962.8671875,5692.647070886691,46265.95380238439,7234.128962137614,37.264854431152344,4057.998226390165,20962.8671875,5780.967438503067,49718.63692196532,1792710.0,3318334905.0,23699651.0,2060179.0,7522204.0,48420.0
2020-03-31,7348.1220703125,39.299102783203125,3927.5625,20355.248046875,5692.64697265625,47186.66015625,7628.718617150209,39.37229919433594,4086.983856088561,21613.88811800373,5877.316786618811,49450.08531821646,7014.913670942721,38.681514739990234,3811.6196955719556,19530.621793376864,5499.9480769158245,46457.76052782012,7014.913670942721,39.119136810302734,4000.026752767528,20962.867391557833,5732.792381545572,46457.76052782012,572600.0,3359087002.0,18505728.0,1191739.0,3958737.0,38440.0
2020-04-01,7505.95751953125,39.38081359863281,4130.46240234375,21552.6171875,5909.43310546875,47225.03125,7523.494803455388,39.38081359863281,4144.95525287829,21774.351932227368,5909.43310546875,49066.4622004468,7102.599989276066,37.4459342956543,3869.59109272204,20000.473974408436,5620.384762262208,46265.95262997563,7348.121964214004,39.28468704223633,3898.5767937911187,20000.473974408436,5620.384762262208,46879.76294679123,262480.0,3303999600.0,20834916.0,1091239.0,3316161.0,67500.0
