Date,Close,High,Low,Open,Volume
1972-06-01,0.8923024535179138,0.8974703334838856,0.8871347838292379,0.8871347838292379,456000
1972-06-02,0.9026378393173218,0.9026378393173218,0.8940249879739153,0.8940249879739153,640000
1972-06-05,0.8905806541442871,0.9009162117729783,0.8871354682680568,0.9009162117729783,464000
1972-06-06,0.8819665312767029,0.8905795908223055,0.8819665312767029,0.8905795908223055,796800
1972-06-07,0.8923024535179138,0.8940251502656698,0.8802444173928062,0.8819669038632661,584000
1972-06-08,0.8819665312767029,0.8957472583279014,0.8802440455339067,0.8923020765651017,726400
1972-06-09,0.8923024535179138,0.8940251502656698,0.8836896006110221,0.8836896006110221,296000
1972-06-12,0.8905806541442871,0.899193513696134,0.8854127701912125,0.8923031419436732,473600
1972-06-13,0.8991933465003967,0.9026385317360304,0.8923029760291293,0.8923029760291293,478400
1972-06-14,0.9181413650512695,0.9215865480152944,0.9026379365745173,0.9026379365745173,795200
1972-06-15,0.9233094453811646,0.9336449988742372,0.9233094453811646,0.9233094453811646,836800
1972-06-16,0.9129735827445984,0.9250318295421408,0.9095283994134867,0.9233091327379335,267200
1972-06-19,0.9060834646224976,0.918141714727637,0.8957479117941041,0.9129738331747599,1001600
1972-06-20,0.9181413650512695,0.9181413650512695,0.9095283025025671,0.9095283025025671,345600
1972-06-21,0.9095287322998047,0.9215869835106512,0.9078062451424723,0.9181417989186065,556800
1972-06-22,0.9164187908172607,0.9181414876679775,0.9060832405448856,0.9095284239690107,321600
1972-06-23,0.9198638200759888,0.9215865166379887,0.9164186372292622,0.9164186372292622,212800
1972-06-26,0.9301995635032654,0.9301995635032654,0.9112511590150058,0.9198640127976735,278400
1972-06-27,0.9250314235687256,0.9353669690260453,0.9198635457014603,0.9301990911587802,268800
1972-06-28,0.9095287322998047,0.9215869835106512,0.90608354770776,0.9215869835106512,433600
1972-06-29,0.9043607115745544,0.9146962613623933,0.9043607115745544,0.9095283813298246,313600
1972-06-30,0.9164187908172607,0.9198639742413858,0.9060832405448856,0.9060832405448856,404800
