Date,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2014-07-14,3819.82080078125,30356.123046875,3819.82080078125,30356.123046875,3796.386436681046,30118.967348337883,3796.386436681046,30118.967348337883,181219.0,256595
2014-07-15,4077.60107421875,30593.28125,4077.6010742187505,30830.439255251153,4077.6010742187505,30356.123244748844,4077.6010742187505,30356.123244748844,229159.0,276626
2014-07-16,4358.8154296875,30593.28125,4358.8154296875,30830.439255251153,4358.8154296875,30593.28125,4358.8154296875,30830.439255251153,293929.0,455586
2014-07-17,4663.46337890625,30593.28125,4663.46337890625,30593.28125,4663.46337890625,30356.123244748844,4663.46337890625,30356.123244748844,1617039.0,191600
2014-07-18,4968.111328125,31541.91015625,4968.111328125,31779.065850245923,4968.111328125,30593.28046476203,4968.111328125,30593.28046476203,2285819.0,1147787
2014-07-21,4968.111328125,32964.84765625,4968.111328125,32964.84765625,4968.111328125,32964.84765625,5296.1940122100295,32016.218134104554,5287508.0,1750558
2014-07-22,5108.71826171875,32490.5234375,5108.71826171875,32490.523437500004,5108.71826171875,32490.523437500004,4874.373415882038,32727.68133370696,9671127.0,399300
2014-07-23,5108.71826171875,32253.373046875,5108.71826171875,32253.373046875004,5108.71826171875,32253.373046875004,5155.587386505701,32490.528676152964,396609.0,652810
2014-07-24,5061.85009765625,32490.5234375,5061.85009765625,32490.523437500004,5061.85009765625,32490.523437500004,5061.85009765625,32253.36784646014,571029.0,337092
2014-07-25,5061.85009765625,32253.373046875,5061.85009765625,32253.373046875004,5061.85009765625,32253.373046875004,5061.85009765625,32490.528676152964,1353709.0,381857
2014-07-28,5061.85009765625,32016.216796875,5061.85009765625,32016.216796874996,5061.85009765625,32016.216796874996,5061.85009765625,32016.216796874996,1594769.0,558179
2014-07-29,4968.111328125,32253.373046875,4968.111328125,32253.373046875004,4968.111328125,32253.373046875004,5061.849182285152,32253.373046875004,430099.0,296881
2014-07-30,4968.111328125,32016.216796875,4968.111328125,32016.216796874996,4968.111328125,32016.216796874996,5014.980060680578,32253.37474379784,274719.0,276128
2014-07-31,4827.50390625,32253.373046875,4827.50390625,32253.373046875004,4827.50390625,32253.373046875004,4921.241751747825,32253.373046875004,635799.0,219892
2014-08-01,4827.50390625,32016.216796875,4827.50390625,32016.216796874996,4827.50390625,32016.216796874996,4921.241751747825,32016.216796874996,480929.0,323879
2014-08-04,4827.50390625,32490.5234375,4827.50390625,32490.523437500004,4827.50390625,32490.523437500004,4827.50390625,32016.20995025318,226949.0,260701
2014-08-05,4874.37353515625,32490.5234375,4874.37353515625,32490.523437500004,4874.37353515625,32490.523437500004,4874.37353515625,32490.523437500004,362779.0,250150
2014-08-06,5014.98046875,32727.69921875,5014.98046875,32727.69921875,5014.98046875,32727.69921875,4874.37348154407,32727.69921875,353599.0,151737
2014-08-07,5014.98046875,33202.015625,5014.98046875,33202.015625,5014.98046875,33202.015625,5014.98046875,32727.70184055297,293249.0,615585
2014-08-08,5014.98046875,33202.015625,5014.98046875,33202.015625,5014.98046875,33202.015625,4968.111732380708,33202.015625,156229.0,681625
2014-08-11,5343.06396484375,32727.69921875,5343.06396484375,32727.69921875,5343.06396484375,32727.69921875,5343.06396484375,33202.012965199945,3047249.0,635367
2014-08-12,5530.53857421875,32490.5234375,5530.53857421875,32490.523437500004,5530.53857421875,32490.523437500004,5389.931605265455,32490.523437500004,1090379.0,660449
2014-08-13,5811.75244140625,32923.74609375,5811.75244140625,32923.74609375,5811.75244140625,32923.74609375,5577.407625685326,32634.940810965778,2499169.0,1539316
2014-08-14,6186.7041015625,33501.3515625,6186.7041015625,33501.3515625,6186.7041015625,33501.3515625,5811.752326042077,32923.74108480788,2546599.0,921922
2014-08-15,6608.525390625,33501.3515625,6608.525390625,33501.3515625,6608.525390625,33501.3515625,6561.655880936144,33501.3515625,1702209.0,493226
2014-08-18,6983.4775390625,33212.5546875,6983.4775390625,33212.5546875,6983.4775390625,33212.5546875,6842.870551302325,33501.35999907528,508469.0,429815
2014-08-19,6514.787109375,32923.74609375,6514.787109375,32923.74609375,6514.787109375,32923.74609375,6796.001053390895,32923.74609375,665549.0,505958
2014-08-20,6514.787109375,32346.126953125,6514.787109375,32346.126953124996,6514.787109375,32346.126953124996,6139.835313703468,32634.932159346085,791349.0,447773
2014-08-21,6327.3115234375,32634.9375,6327.3115234375,32634.937499999996,6327.3115234375,32634.937499999996,6421.049771644705,32634.937499999996,995689.0,360225
2014-08-22,6608.525390625,32634.9375,6608.525390625,32634.937499999996,6608.525390625,32634.937499999996,6327.311055834781,32634.937499999996,779619.0,490613
