Date,Close,High,Low,Open,Volume
2014-07-14,3819.82080078125,3819.82080078125,3796.386436681046,3796.386436681046,181219
2014-07-15,4077.60107421875,4077.6010742187505,4077.6010742187505,4077.6010742187505,229159
2014-07-16,4358.8154296875,4358.8154296875,4358.8154296875,4358.8154296875,293929
2014-07-17,4663.46337890625,4663.46337890625,4663.46337890625,4663.46337890625,1617039
2014-07-18,4968.111328125,4968.111328125,4968.111328125,4968.111328125,2285819
2014-07-21,4968.111328125,4968.111328125,4968.111328125,5296.1940122100295,5287508
2014-07-22,5108.71826171875,5108.71826171875,5108.71826171875,4874.373415882038,9671127
2014-07-23,5108.71826171875,5108.71826171875,5108.71826171875,5155.587386505701,396609
2014-07-24,5061.85009765625,5061.85009765625,5061.85009765625,5061.85009765625,571029
2014-07-25,5061.85009765625,5061.85009765625,5061.85009765625,5061.85009765625,1353709
2014-07-28,5061.85009765625,5061.85009765625,5061.85009765625,5061.85009765625,1594769
2014-07-29,4968.111328125,4968.111328125,4968.111328125,5061.849182285152,430099
2014-07-30,4968.111328125,4968.111328125,4968.111328125,5014.980060680578,274719
2014-07-31,4827.50390625,4827.50390625,4827.50390625,4921.241751747825,635799
2014-08-01,4827.50390625,4827.50390625,4827.50390625,4921.241751747825,480929
2014-08-04,4827.50390625,4827.50390625,4827.50390625,4827.50390625,226949
2014-08-05,4874.37353515625,4874.37353515625,4874.37353515625,4874.37353515625,362779
2014-08-06,5014.98046875,5014.98046875,5014.98046875,4874.37348154407,353599
2014-08-07,5014.98046875,5014.98046875,5014.98046875,5014.98046875,293249
2014-08-08,5014.98046875,5014.98046875,5014.98046875,4968.111732380708,156229
2014-08-11,5343.06396484375,5343.06396484375,5343.06396484375,5343.06396484375,3047249
2014-08-12,5530.53857421875,5530.53857421875,5530.53857421875,5389.931605265455,1090379
2014-08-13,5811.75244140625,5811.75244140625,5811.75244140625,5577.407625685326,2499169
2014-08-14,6186.7041015625,6186.7041015625,6186.7041015625,5811.752326042077,2546599
2014-08-15,6608.525390625,6608.525390625,6608.525390625,6561.655880936144,1702209
2014-08-18,6983.4775390625,6983.4775390625,6983.4775390625,6842.870551302325,508469
2014-08-19,6514.787109375,6514.787109375,6514.787109375,6796.001053390895,665549
2014-08-20,6514.787109375,6514.787109375,6514.787109375,6139.835313703468,791349
2014-08-21,6327.3115234375,6327.3115234375,6327.3115234375,6421.049771644705,995689
2014-08-22,6608.525390625,6608.525390625,6608.525390625,6327.311055834781,779619
2014-08-25,6749.1328125,6749.1328125,6749.1328125,6796.00154720895,1040229
2014-08-26,6280.44287109375,6280.44287109375,6280.44287109375,6749.132951155182,507959
2014-08-27,6421.04931640625,6421.04931640625,6421.04931640625,6467.918048137944,194649
2014-08-28,6421.04931640625,6421.04931640625,6421.04931640625,6421.04931640625,86189
2014-08-29,6327.3115234375,6327.3115234375,6327.3115234375,6421.049771644705,267749
2014-09-01,6327.3115234375,6327.3115234375,6327.3115234375,6327.3115234375,0
2014-09-02,6327.3115234375,6327.3115234375,6327.3115234375,6327.3115234375,0
2014-09-03,6327.3115234375,6374.180647541102,6327.3115234375,6374.180647541102,427039
2014-09-04,6186.7041015625,6280.441948180365,6186.7041015625,6280.441948180365,641749
2014-09-05,6374.1806640625,6374.1806640625,6233.573680436266,6233.573680436266,760919
2014-09-08,6796.00048828125,6796.00048828125,6467.91745119422,6467.91745119422,2918899
2014-09-09,6983.4775390625,7264.691514582852,6983.4775390625,7264.691514582852,1509769
2014-09-10,7124.08349609375,7124.08349609375,7124.08349609375,7170.952225866713,401879
2014-09-11,7124.08349609375,7124.08349609375,7124.08349609375,7077.214766320788,439619
2014-09-12,7077.2158203125,7077.2158203125,7077.2158203125,7124.084557065504,759389
2014-09-15,7124.08349609375,7124.08349609375,7124.08349609375,7077.214766320788,246499
2014-09-16,7124.08349609375,7124.08349609375,7077.214766320788,7077.214766320788,1120299
2014-09-17,7124.08349609375,7124.08349609375,7124.08349609375,7217.821733737621,109309
2014-09-18,7217.8232421875,7217.8232421875,7217.8232421875,7030.346727719119,221509
2014-09-19,7686.51171875,7686.51171875,7358.429039076777,7358.429039076777,342039
2014-09-22,8202.0712890625,8202.0712890625,8202.0712890625,8202.0712890625,486029
2014-09-23,8155.2021484375,8436.41612294887,8155.202148437501,8436.41612294887,231539
2014-09-24,8108.33154296875,8342.676749562841,8108.33154296875,8342.676749562841,98429
2014-09-25,7545.904296875,7967.725193453303,7545.904296875,7967.725193453303,511699
2014-09-26,7827.119140625,7967.726122546876,7827.119140625,7967.726122546876,443359
2014-09-29,7873.9873046875,7967.725545209197,7873.9873046875,7967.725545209197,194139
2014-09-30,7920.8564453125,7920.8564453125,7733.380732676834,7733.380732676834,212669
2014-10-01,7967.72705078125,7967.72705078125,7920.857532615009,7920.857532615009,418029
2014-10-02,8061.4638671875,8061.463867187501,7920.8568804617025,7920.8568804617025,868189
2014-10-03,8202.0712890625,8202.0712890625,8202.0712890625,8202.0712890625,380799
2014-10-06,8202.0712890625,8248.940027758303,8202.0712890625,8248.940027758303,327249
2014-10-07,8202.0712890625,8202.0712890625,8155.202550366698,8155.202550366698,645319
2014-10-08,8764.4990234375,8764.4990234375,8764.4990234375,8764.4990234375,1388999
2014-10-09,9322.240234375,9322.240234375,9242.562987365764,9242.562987365764,2713399
2014-10-10,9322.240234375,9322.240234375,9242.562987365764,9242.562987365764,635999
2014-10-13,8923.8525390625,9162.884240975944,8923.8525390625,9162.884240975944,171499
2014-10-14,8923.8525390625,9003.529773033648,8923.8525390625,9003.529773033648,348799
2014-10-15,9003.5302734375,9003.5302734375,8923.853035038,8923.853035038,941899
2014-10-16,8525.466796875,8923.85298671523,8525.466796875,8923.85298671523,376799
2014-10-17,8684.8212890625,8764.498527179641,8684.8212890625,8764.498527179641,594099
2014-10-20,8605.14453125,8844.176258943216,8605.14453125,8844.176258943216,77599
2014-10-21,8605.14453125,8605.14453125,8605.14453125,8605.14453125,142599
2014-10-22,8525.466796875,8684.821272811092,8525.466796875,8684.821272811092,151499
2014-10-23,8366.1142578125,8525.468770641412,8366.1142578125,8525.468770641412,210999
2014-10-24,8605.14453125,8605.14453125,8366.112803556784,8366.112803556784,170399
2014-10-27,8684.8212890625,8764.498527179641,8684.8212890625,8764.498527179641,268899
2014-10-28,8445.7900390625,8605.144524058127,8445.7900390625,8605.144524058127,281399
2014-10-29,8366.1142578125,8525.468770641412,8366.1142578125,8525.468770641412,213199
2014-10-30,8525.466796875,8525.466796875,8366.112320938908,8366.112320938908,653499
2014-10-31,8445.7900390625,8525.467281560313,8445.7900390625,8525.467281560313,269299
2014-11-03,8206.7587890625,8366.113283329842,8206.7587890625,8366.113283329842,513299
2014-11-04,8206.7587890625,8206.7587890625,7967.727047661486,7967.727047661486,849599
2014-11-05,7967.72705078125,8206.758792275858,7967.72705078125,8206.758792275858,333199
2014-11-06,7728.69287109375,7888.048109292687,7728.69287109375,7888.048109292687,1767299
2014-11-07,8206.7587890625,8206.7587890625,7728.694528162355,7728.694528162355,1614199
2014-11-10,8127.08154296875,8206.758790112617,8127.08154296875,8206.758790112617,679799
2014-11-11,8127.08154296875,8127.08154296875,8047.404295824884,8047.404295824884,789199
2014-11-12,8047.40234375,8047.40234375,8047.40234375,8047.40234375,644899
2014-11-13,8047.40234375,8047.40234375,8047.40234375,8047.40234375,480599
2014-11-14,8127.08154296875,8127.08154296875,8047.404295824884,8047.404295824884,951599
2014-11-17,8047.40234375,8047.40234375,8047.40234375,8047.40234375,181799
2014-11-18,7888.0478515625,7967.725079009659,7888.0478515625,7967.725079009659,213099
2014-11-19,7808.37158203125,7888.048819253058,7808.37158203125,7888.048819253058,151999
2014-11-20,7808.37158203125,7888.048819253058,7808.37158203125,7888.048819253058,252599
2014-11-21,7808.37158203125,7888.048819253058,7808.37158203125,7888.048819253058,139999
2014-11-24,7569.33984375,7688.855711448218,7569.33984375,7688.855711448218,574899
2014-11-25,7409.98388671875,7569.338345439672,7409.98388671875,7569.338345439672,485499
2014-11-26,7330.30712890625,7489.661597878212,7330.30712890625,7489.661597878212,394699
2014-11-27,7250.630859375,7330.308104464877,7250.630859375,7330.308104464877,222499
2014-11-28,7091.275390625,7330.307092909124,7091.275390625,7330.307092909124,380899
2014-12-01,6772.56640625,7091.27534037019,6772.56640625,7091.27534037019,619599
2014-12-02,7210.791015625,7210.791015625,6772.566241847543,6772.566241847543,390899
2014-12-03,7688.85400390625,7688.85400390625,7649.015390187544,7649.015390187544,1421699
2014-12-04,7967.72705078125,8206.758792275858,7967.72705078125,8206.758792275858,2578699
2014-12-05,7927.88671875,7967.725333747267,7927.88671875,7967.725333747267,649799
2014-12-08,7927.88671875,7927.88671875,7808.370873758198,7808.370873758198,1321599
2014-12-09,7888.0478515625,7927.886465286079,7888.0478515625,7927.886465286079,1809299
2014-12-10,7848.20947265625,7848.209472656251,7489.661160318396,7489.661160318396,169399
2014-12-11,7927.88671875,7927.88671875,7649.0156356711805,7649.0156356711805,1733599
2014-12-12,7967.72705078125,7967.72705078125,7927.888427198815,7927.888427198815,1626599
2014-12-15,7967.72705078125,7967.72705078125,7927.888427198815,7927.888427198815,1554699
2014-12-16,7967.72705078125,8047.404297946118,7967.72705078125,8047.404297946118,355199
2014-12-17,7967.72705078125,7967.72705078125,7967.72705078125,7967.72705078125,611999
2014-12-18,7888.0478515625,7888.0478515625,7888.0478515625,7888.0478515625,201399
2014-12-19,8127.08154296875,8127.08154296875,7888.04980153715,7888.04980153715,1059699
2014-12-22,8127.08154296875,8127.08154296875,8127.08154296875,8127.08154296875,450699
2014-12-23,8286.435546875,8286.435546875,8127.081062017677,8127.081062017677,888099
2014-12-24,8684.8212890625,8684.8212890625,8286.435098476792,8286.435098476792,3728299
2014-12-25,8366.1142578125,8445.791514226956,8366.1142578125,8445.791514226956,149599
2014-12-26,8445.7900390625,8445.7900390625,8366.112796564685,8366.112796564685,368099
2014-12-29,8445.7900390625,8445.7900390625,8445.7900390625,8445.7900390625,274399
2014-12-30,8605.14453125,8605.14453125,8445.79004612119,8445.79004612119,427599
2014-12-31,8684.8212890625,8684.8212890625,8605.144050945359,8605.144050945359,571499
2015-01-01,8684.8212890625,8684.8212890625,8684.8212890625,8684.8212890625,0
2015-01-02,8684.8212890625,8684.8212890625,8684.8212890625,8684.8212890625,0
2015-01-05,8605.14453125,8764.499016378812,8605.14453125,8764.499016378812,180299
2015-01-06,8605.14453125,8605.14453125,8605.14453125,8605.14453125,379699
2015-01-07,8445.7900390625,8525.467281560313,8445.7900390625,8525.467281560313,105899
2015-01-08,8525.466796875,8525.466796875,8525.466796875,8525.466796875,470399
2015-01-09,8684.8212890625,8684.8212890625,8445.789574711076,8445.789574711076,461699
2015-01-12,8764.4990234375,8764.4990234375,8605.14453818035,8605.14453818035,1042299
2015-01-13,9162.8837890625,9162.8837890625,8764.497638855168,8764.497638855168,2904999
2015-01-14,9481.59375,9481.59375,9083.207556062778,9083.207556062778,2442399
2015-01-15,9561.2705078125,9561.2705078125,9561.2705078125,9561.2705078125,764699
2015-01-16,9242.5625,9561.271471231234,9242.5625,9561.271471231234,1169499
2015-01-19,9401.91796875,9401.91796875,9401.91796875,9401.91796875,1549999
2015-01-20,9561.2705078125,9561.2705078125,9401.916038253858,9401.916038253858,1702999
2015-01-21,9561.2705078125,9561.2705078125,9561.2705078125,9561.2705078125,1321899
2015-01-22,9481.59375,9561.270988787444,9481.59375,9561.270988787444,481099
2015-01-23,9561.2705078125,9561.2705078125,9401.916038253858,9401.916038253858,830299
2015-01-26,9401.91796875,9561.272471028906,9401.91796875,9561.272471028906,694699
2015-01-27,9481.59375,9481.59375,9401.916511212556,9401.916511212556,744299
2015-01-28,9720.6259765625,9720.6259765625,9481.594247654264,9481.594247654264,1535199
2015-01-29,9959.6572265625,9959.6572265625,9720.62550914806,9720.62550914806,1896399
2015-01-30,9879.98046875,9959.657711769803,9879.98046875,9959.657711769803,1060699
2015-02-02,9561.2705078125,9879.979446929783,9561.2705078125,9879.979446929783,63649
2015-02-03,9561.2705078125,9640.947742591821,9481.593273033179,9481.593273033179,24449
2015-02-04,9800.302734375,9879.979973400048,9481.59377827481,9481.59377827481,95509
2015-02-05,10039.3330078125,10039.3330078125,9800.301325109675,9800.301325109675,157179
2015-02-06,10119.0126953125,10198.689942249652,10039.33544837535,10039.33544837535,90909
2015-02-09,10278.3662109375,10358.043450291325,10198.688971583675,10198.688971583675,153369
2015-02-10,10198.689453125,10358.04393935673,10198.689453125,10198.689453125,117429
2015-02-11,10358.0419921875,10358.0419921875,10119.010307774568,10198.687535912211,256599
2015-02-12,10358.0419921875,10358.0419921875,10278.364764049857,10278.364764049857,59109
2015-02-13,10358.0419921875,10358.0419921875,10198.687535912211,10358.0419921875,15409
2015-02-16,10358.0419921875,10358.0419921875,10358.0419921875,10358.0419921875,0
2015-02-17,10358.0419921875,10358.0419921875,10358.0419921875,10358.0419921875,0
2015-02-18,10358.0419921875,10358.0419921875,10358.0419921875,10358.0419921875,0
2015-02-19,10358.0419921875,10358.0419921875,10358.0419921875,10358.0419921875,0
2015-02-20,10358.0419921875,10358.0419921875,10358.0419921875,10358.0419921875,0
2015-02-23,10358.0419921875,10358.0419921875,10358.0419921875,10358.0419921875,0
2015-02-24,10358.0419921875,10358.0419921875,10358.0419921875,10358.0419921875,0
2015-02-25,11234.494140625,11792.23482996989,11154.816899290015,11154.816899290015,121559
2015-02-26,11314.1708984375,11393.848136367398,11154.816422577705,11234.493660507604,98799
2015-02-27,10676.7529296875,11393.84889702841,10676.7529296875,11393.84889702841,90049
2015-03-02,10198.689453125,10437.721182472595,9959.657723777404,10358.04393935673,101369
2015-03-03,10198.689453125,10437.721182472595,10039.334966893268,10039.334966893268,153749
2015-03-04,10278.3662109375,10358.043450291325,10119.01173222985,10278.3662109375,108249
2015-03-05,10039.3330078125,10278.364690515327,9959.655780244892,10278.364690515327,144099
2015-03-06,9800.302734375,9959.657212425096,9720.625495349952,9959.657212425096,71019
2015-03-09,9800.302734375,10358.043407550336,9640.948256324906,9800.302734375,42499
2015-03-10,9322.240234375,9800.303716430419,9322.240234375,9640.949222411946,58059
2015-03-11,9083.2060546875,9322.237731539968,8764.497152217542,9322.237731539968,78589
2015-03-12,9481.59375,9561.270988787444,9003.530317275332,9003.530317275332,33339
2015-03-13,9481.59375,10039.33442151211,9481.59375,9879.979943937222,55519
2015-03-16,9322.240234375,9561.27197540271,9322.240234375,9561.27197540271,18509
2015-03-17,9401.91796875,9561.272471028906,9322.240717610546,9481.595219889454,60709
2015-03-18,9401.91796875,9481.595219889454,9322.240717610546,9401.91796875,859
2015-03-19,9322.240234375,9401.917481384236,9242.562987365764,9401.917481384236,13299
2015-03-20,9322.240234375,9481.594728393473,9242.562987365764,9481.594728393473,17359
