Date,Close,Close,Close,Close,High,High,High,High,Low,Low,Low,Low,Open,Open,Open,Open,Volume,Volume,Volume,Volume
1973-02-21,1.4914157390594482,1.1712186336517334,0.3625587821006775,0.011352374218404293,1.4914157390594482,1.1798942205454084,0.3658007533109796,0.011396202235095052,1.4914157390594482,1.1625428349491522,0.3620184025514232,0.011352374218404293,1.4914157390594482,1.1798942205454084,0.3647200220384005,0.011396202235095052,99200.0,211200,405000,3993600.0
1973-02-22,1.4964544773101807,1.1868343353271484,0.3620186448097229,0.011048262007534504,1.4964544773101807,1.1868343353271484,0.3625590247205926,0.01135238128438376,1.4964544773101807,1.1590721286528292,0.3593170513408029,0.011048262007534504,1.4964544773101807,1.1712181999772577,0.3625590247205926,0.01135238128438376,47200.0,180800,367200,40857600.0
1973-02-23,1.4914157390594482,1.1746892929077148,0.3614782392978668,0.011091550812125206,1.4914157390594482,1.1868351608717984,0.3652605920294898,0.011134844232161198,1.4914157390594482,1.1694837696309826,0.3614782392978668,0.011004430358027438,1.4914157390594482,1.1868351608717984,0.3620185913029238,0.011048258387637771,133600.0,294400,658800,6451200.0
1973-02-26,1.4914157390594482,1.1556018590927124,0.3614782392978668,0.011004428379237652,1.4914157390594482,1.1816290338956115,0.364179832367488,0.011048256400966934,1.4914157390594482,1.15039655121743,0.3587766184023017,0.011004428379237652,1.4914157390594482,1.1746884821893488,0.3614782392978668,0.011048256400966934,24000.0,585600,561600,2457600.0
1973-02-27,1.4914157390594482,1.1556018590927124,0.359316885471344,0.01091731432825327,1.4914157390594482,1.1556018590927124,0.361478125857661,0.011004434817657269,1.4914157390594482,1.1347802039739248,0.35877650580992676,0.010917314328253267,1.4914157390594482,1.1556018590927124,0.361478125857661,0.011004434817657269,41600.0,449600,475200,4300800.0
1973-02-28,1.4914157390594482,1.1677480936050415,0.35661542415618896,0.010786904953420162,1.4914157390594482,1.1677480936050415,0.3598573974824353,0.010786904953420162,1.4914157390594482,1.1365156065640147,0.35391380290594,0.010743611501564686,1.4914157390594482,1.1556020205179909,0.35931704540643794,0.010786904953420162,66400.0,641600,675000,7680000.0
1973-03-01,1.5014935731887817,1.176424264907837,0.3598572909832001,0.010700310580432415,1.5014935731887815,1.1972459333132854,0.3609378000337867,0.010700310580432415,1.5014935731887815,1.176424264907837,0.3566153186164107,0.010700310580432415,1.5014935731887815,1.176424264907837,0.3566153186164107,0.010700310580432415,93600.0,414400,847800,307200.0
1973-03-02,1.5065325498580933,1.1937756538391113,0.3598572909832001,0.010613194666802883,1.5065325498580933,1.1937756538391113,0.3609378000337867,0.010656487107362358,1.5065325498580933,1.1573378400769925,0.35553455913237,0.010569366620921674,1.5065325498580933,1.1764242635216824,0.3598572909832001,0.010656487107362358,26400.0,960000,469800,7833600.0
1973-03-05,1.5266867876052856,1.1955100297927856,0.3631967306137085,0.010351831093430519,1.5266867876052856,1.2180667149051427,0.3631967306137085,0.010613192499377358,1.5266867876052856,1.1833639594947398,0.3583180431435755,0.010351831093430519,1.5266867876052856,1.1937747861178607,0.3610284560897601,0.010613192499377358,68000.0,625600,507600,25036800.0
1973-03-06,1.5720340013504028,1.2041863203048706,0.3675328195095062,0.009873468428850174,1.5720340013504026,1.2076565978849998,0.3675328195095062,0.010395656551550808,1.5720340013504026,1.1920404546788852,0.3626541660639604,0.009830176003725327,1.5720340013504026,1.1955107322590144,0.3631962758909739,0.01035182951684375,76800.0,420800,658800,17971200.0
1973-03-07,1.5720340013504028,1.245829701423645,0.3713276982307434,0.009612640365958214,1.5720340013504026,1.245829701423645,0.3740381094009855,0.009743054224289201,1.5720340013504026,1.2076566465053717,0.36644904187375166,0.009134280338521086,1.5720340013504026,1.2076566465053717,0.3675330388429606,0.009743054224289201,51200.0,436800,712800,15360000.0
1973-03-08,1.5821105241775513,1.22500741481781,0.3751223683357239,0.010090997442603111,1.582110524177551,1.2458290705937503,0.3767485032973859,0.010351824061713784,1.582110524177551,1.21459658692984,0.37186981924759954,0.00983017082349244,1.582110524177551,1.2458290705937503,0.37186981924759954,0.00983017082349244,84800.0,241600,621000,9830400.0
1973-03-09,1.5821105241775513,1.2111265659332275,0.37674829363822937,0.009960591793060303,1.582110524177551,1.2250076727061012,0.37674829363822937,0.010091005707199466,1.582110524177551,1.2111265659332275,0.37458002184104916,0.009830178874469998,1.582110524177551,1.2250076727061012,0.37512215958150547,0.010091005707199466,78400.0,518400,534600,7680000.0
1973-03-12,1.577072262763977,1.2302137613296509,0.37403833866119385,0.010003876872360706,1.577072262763977,1.231948794572447,0.3767487514927357,0.010090997280430983,1.577072262763977,1.2111271248050255,0.37403833866119385,0.010003876872360706,1.577072262763977,1.2111271248050255,0.3767487514927357,0.010003876872360706,73600.0,270400,561600,1689600.0
1973-03-13,1.5821105241775513,1.226743459701538,0.3772904872894287,0.009699764661490917,1.582110524177551,1.235419049368459,0.3772904872894287,0.00991729904975067,1.582110524177551,1.226743459701538,0.37403793952934034,0.009699764661490917,1.582110524177551,1.2302137379301012,0.37403793952934034,0.00991729904975067,47200.0,168000,1263600,4454400.0
1973-03-14,1.5871500968933105,1.242358684539795,0.38596364855766296,0.009917303919792175,1.5871500968933105,1.245828960194934,0.38596364855766296,0.010003889830728134,1.5871500968933105,1.2250073062640994,0.37783244982766734,0.009699769424708833,1.5871500968933105,1.2267425499960773,0.37783244982766734,0.009699769424708833,50400.0,438400,1036800,5376000.0
1973-03-15,1.5821105241775513,1.2492996454238892,0.3821694552898407,0.009743056260049343,1.582110524177551,1.2631807525952659,0.38921666650191156,0.010134830535314162,1.582110524177551,1.245829368631045,0.3821694552898407,0.009743056260049343,1.582110524177551,1.245829368631045,0.38596411607064546,0.00991729718353813,70400.0,276800,1139400,2150400.0
1973-03-16,1.577072262763977,1.242358684539795,0.3800010085105896,0.009655935689806938,1.577072262763977,1.245828960194934,0.38379566756502836,0.009655935689806938,1.577072262763977,1.2284775819192386,0.3783748736172184,0.009438935954541823,1.577072262763977,1.245828960194934,0.38216928142334744,0.009655935689806938,44800.0,206400,561600,3379200.0
1973-03-19,1.561955451965332,1.2076562643051147,0.38108524680137634,0.009438938461244106,1.561955451965332,1.242359030520779,0.38325351949935826,0.009569352379993075,1.561955451965332,1.2076562643051147,0.37945886082079533,0.009438938461244106,1.561955451965332,1.242359030520779,0.3800009708700049,0.009569352379993075,28000.0,216000,685800,1536000.0
1973-03-20,1.531724214553833,1.1937756538391113,0.3783748745918274,0.009221404790878296,1.531724214553833,1.2093920110292793,0.38216928240772996,0.00939511114396607,1.531724214553833,1.1798945415851683,0.3783748745918274,0.009221404790878296,1.531724214553833,1.2076567660930546,0.3810852855309532,0.00939511114396607,68800.0,176000,1593000,460800.0
1973-03-21,1.5115711688995361,1.1625421047210693,0.37295398116111755,0.009047158062458038,1.5115711688995361,1.1903043042367965,0.3794588265846487,0.009221398914247232,1.5115711688995361,1.1625421047210693,0.37295398116111755,0.009047158062458038,1.5115711688995361,1.1903043042367965,0.37837480199936674,0.009221398914247232,94400.0,724800,1198800,6604800.0
1973-03-22,1.4863779544830322,1.107017993927002,0.3621123135089874,0.007524961605668068,1.4863779544830324,1.1417207523573154,0.37078565882509357,0.008786337528949991,1.4863779544830324,1.0948721343808063,0.3621123135089874,0.007524961605668068,1.4863779544830324,1.1417207523573154,0.37078565882509357,0.008786337528949991,55200.0,1356800,4552200,12902400.0
1973-03-23,1.4863779544830322,1.1313097476959229,0.36048614978790283,0.007612075190991163,1.4863779544830324,1.1365152665498417,0.3631965333454575,0.007655368090214701,1.4863779544830324,1.1070178205981578,0.3539810785007558,0.007481127274740848,1.4863779544830324,1.1070178205981578,0.36211228500638853,0.007524954783254236,117600.0,462400,1641600,16588800.0
1973-03-26,1.4813390970230103,1.1729528903961182,0.3572334051132202,0.007655379828065634,1.4813390970230103,1.1729528903961182,0.3621120872694413,0.007698672793669468,1.4813390970230103,1.1382501421595466,0.3556072707827105,0.0076120868624618,1.4813390970230103,1.1382501421595466,0.36048595293893154,0.0076120868624618,9600.0,275200,2035800,4147200.0
1973-03-27,1.4813390970230103,1.1868343353271484,0.36102813482284546,0.007960030809044838,1.4813390970230103,1.1937748869957283,0.3631964074173203,0.007960030809044838,1.4813390970230103,1.1798937836585686,0.35831772428856495,0.007612083411622912,1.4813390970230103,1.1798937836585686,0.35831772428856495,0.007655376357600454,15200.0,862400,1150200,14592000.0
1973-03-28,1.5014935731887817,1.183363914489746,0.35994377732276917,0.007829082198441029,1.5014935731887815,1.1903044653078678,0.36319629689058414,0.007916202694110338,1.5014935731887815,1.1798936390806853,0.3561491199801302,0.007829082198441029,1.5014935731887815,1.186834189898807,0.3610280249559509,0.007916202694110338,141600.0,222400,696600,2611200.0
1973-03-29,1.5216472148895264,1.2145965099334717,0.3697017431259155,0.007872904650866985,1.5216472148895264,1.2180667856761387,0.3697017431259155,0.007872904650866985,1.5216472148895264,1.1850992720252127,0.36102839524339864,0.007872904650866985,1.5216472148895264,1.1850992720252127,0.36102839524339864,0.007872904650866985,120000.0,395200,1107000,153600.0
1973-03-30,1.5216472148895264,1.1903040409088135,0.3615701496601105,0.007916199043393135,1.5216472148895264,1.2111256859392883,0.3707856324921898,0.007960026575930547,1.5216472148895264,1.1885690097273036,0.3604861525610625,0.007916199043393135,1.5216472148895264,1.2111256859392883,0.36970160747665715,0.007916199043393135,85600.0,273600,448200,4147200.0
1973-04-02,1.5115711688995361,1.1868343353271484,0.35777562856674194,0.007960030809044838,1.5115711688995361,1.1937748869957283,0.3610281492543676,0.007960030809044838,1.5115711688995361,1.1833640594928585,0.3561492425987877,0.007829082751377817,1.5115711688995361,1.1903046111614384,0.3610281492543676,0.007916203253200098,52800.0,185600,772200,4608000.0
1973-04-03,1.5014935731887817,1.176424264907837,0.3583177924156189,0.007960030809044838,1.5014935731887815,1.1798945429754117,0.3599439552959457,0.007960030809044838,1.5014935731887815,1.1608081195082327,0.35560740928248735,0.007960030809044838,1.5014935731887815,1.1798945429754117,0.3577756822892165,0.007960030809044838,23200.0,291200,1620000,460800.0
1973-04-04,1.4914157390594482,1.1486616134643555,0.3534390926361084,0.007960030809044838,1.4914157390594482,1.172953550909221,0.35614950527780526,0.007960030809044838,1.4914157390594482,1.1399860274242033,0.3528969542747761,0.007872910307222557,1.4914157390594482,1.172953550909221,0.35614950527780526,0.007960030809044838,78400.0,387200,1512000,1536000.0
1973-04-05,1.4863779544830322,1.1417208909988403,0.35777562856674194,0.007568249944597483,1.4863779544830324,1.1469264112999187,0.35777562856674194,0.007785783724314854,1.4863779544830324,1.1278397859411036,0.35181269723649156,0.007568249944597483,1.4863779544830324,1.1469264112999187,0.35343883195616294,0.007785783724314854,78400.0,238400,696600,4300800.0
1973-04-06,1.4863779544830322,1.1573375463485718,0.3583177924156189,0.007568249944597483,1.4863779544830324,1.1625428562182283,0.3599439552959457,0.007568249944597483,1.4863779544830324,1.1486617474872642,0.3550652712396049,0.007568249944597483,1.4863779544830324,1.1486617474872642,0.3577756822892165,0.007568249944597483,36000.0,284800,1085400,460800.0
1973-04-09,1.4863779544830322,1.1798936128616333,0.35994377732276917,0.007568249944597483,1.4863779544830324,1.1798936128616333,0.3610280249559509,0.007568249944597483,1.4863779544830324,1.157336929108383,0.3545229579038547,0.007568249944597483,1.4863779544830324,1.157336929108383,0.3583176152464936,0.007568249944597483,28000.0,420800,896400,153600.0
1973-04-10,1.5216472148895264,1.1798936128616333,0.3675328195095062,0.007612075190991163,1.5216472148895264,1.1798936128616333,0.36861709499646256,0.007655368090214701,1.5216472148895264,1.1729530621977413,0.3637384136344521,0.007568247682477774,1.5216472148895264,1.1798936128616333,0.3637384136344521,0.007568247682477774,88800.0,256000,1107000,3993600.0
1973-04-11,1.531724214553833,1.1781591176986694,0.3642807602882385,0.007568249944597483,1.531724214553833,1.1798941502504734,0.3642807602882385,0.0076553703783743595,1.531724214553833,1.1660130426004678,0.3599439629344271,0.007524957032433865,1.531724214553833,1.1798941502504734,0.3642807602882385,0.007612077466210742,144000.0,348800,658800,1382400.0
1973-04-12,1.5518792867660522,1.166013240814209,0.3594018518924713,0.007568249944597483,1.5518792867660522,1.1850998729820015,0.36644906088307694,0.007568249944597483,1.5518792867660522,1.166013240814209,0.35452316736591943,0.007568249944597483,1.5518792867660522,1.178159317977155,0.36428078766736804,0.007568249944597483,140800.0,280000,1036800,460800.0
1973-04-13,1.5518792867660522,1.1625421047210693,0.3594018518924713,0.007568249944597483,1.5518792867660522,1.172952929539467,0.3610282382613909,0.007568249944597483,1.5518792867660522,1.1625421047210693,0.3550653054610536,0.007524957032433865,1.5518792867660522,1.1660123796605353,0.3594018518924713,0.007568249944597483,13600.0,188800,513000,921600.0
1973-04-16,1.5518792867660522,1.1573375463485718,0.3572334051132202,0.0074378387071192265,1.5518792867660522,1.1573375463485718,0.35831765286021877,0.007481131631555426,1.5518792867660522,1.1451914703045234,0.35614915736622166,0.007394545782683025,1.5518792867660522,1.1573375463485718,0.35831765286021877,0.007481131631555426,40000.0,204800,529200,2764800.0
1973-04-17,1.5115711688995361,1.1590715646743774,0.35614922642707825,0.0074378387071192265,1.5115711688995361,1.1660121129658407,0.357775612321183,0.007437838707119226,1.5115711688995361,1.155601290528646,0.3528966779706656,0.007437838707119226,1.5115711688995361,1.157336533505874,0.3572334743843232,0.007437838707119226,92800.0,102400,540000,0.0
1973-04-18,1.5065325498580933,1.166013240814209,0.35398098826408386,0.007394544780254364,1.5065325498580933,1.166013240814209,0.35506523632675674,0.007394544780254363,1.5065325498580933,1.1556024083069392,0.35127057748098145,0.007350717252158374,1.5065325498580933,1.1590726858093625,0.35506523632675674,0.007394544780254363,25600.0,174400,1236600,2304000.0
1973-04-19,1.5115711688995361,1.1694836616516113,0.3653646409511566,0.007612075190991163,1.5115711688995361,1.1764242175071105,0.36861718907751717,0.007612075190991162,1.5115711688995361,1.1590728278683626,0.35560730365326443,0.00739454147629377,1.5115711688995361,1.1660133837238618,0.35560730365326443,0.00739454147629377,39200.0,190400,1047600,2150400.0
1973-04-23,1.4914157390594482,1.1677480936050415,0.3675328195095062,0.007829082198441029,1.4914157390594482,1.1712183699429335,0.36861709499646256,0.007829082198441029,1.4914157390594482,1.1625425731937744,0.36428055137793025,0.007655375816931853,1.4914157390594482,1.1694831258695582,0.36536454770024007,0.007655375816931853,48000.0,172800,556200,8601600.0
1973-04-24,1.4813390970230103,1.16427743434906,0.3718695342540741,0.008046617731451988,1.4813390970230103,1.1694827412395001,0.37403780559616956,0.008046617731451988,1.4813390970230103,1.159071915649831,0.3675327403217555,0.00796003182840869,1.4813390970230103,1.1677477095456164,0.3675327403217555,0.00796003182840869,134400.0,414400,729000,2150400.0
1973-04-25,1.4712623357772827,1.1382510662078857,0.3702438771724701,0.008046617731451988,1.4712623357772827,1.1521321767713966,0.3729542617139936,0.008090445292909297,1.4712623357772827,1.1278402332852526,0.36915960052328456,0.008046617731451988,1.4712623357772827,1.1521321767713966,0.3718700129813027,0.008046617731451988,59200.0,1811200,367200,4300800.0
1973-04-26,1.4712623357772827,1.1278411149978638,0.37078550457954407,0.008003322407603264,1.4712623357772827,1.134781675705543,0.37078550457954407,0.008046615346292115,1.4712623357772827,1.1191655200178168,0.3648225734313787,0.008003322407603264,1.4712623357772827,1.134781675705543,0.37024361788289734,0.008046615346292115,33600.0,249600,669600,8601600.0
1973-04-27,1.4611843824386597,1.1087534427642822,0.3626542091369629,0.007829082198441029,1.4611843824386597,1.1313101340103617,0.36970138647696094,0.00804661613269958,1.4611843824386597,1.0861965397093352,0.3626542091369629,0.007829082198441029,1.4611843824386597,1.1278398575256674,0.36970138647696094,0.008003323189779647,36800.0,1748800,577800,3379200.0
1973-04-30,1.441030502319336,1.1156941652297974,0.3631967306137085,0.00778578594326973,1.441030502319336,1.1191644422416958,0.3631967306137085,0.00778578594326973,1.441030502319336,1.096607535759906,0.3566916557933668,0.00778578594326973,1.441030502319336,1.1087536112060004,0.362654620107972,0.00778578594326973,91200.0,625600,399600,1536000.0
1973-05-01,1.4309542179107666,1.1208996772766113,0.3621123135089874,0.007742492016404867,1.4309542179107666,1.1243699549152386,0.36265445167943694,0.007742492016404866,1.4309542179107666,1.103548289083475,0.3599440399920558,0.007742492016404866,1.4309542179107666,1.1156943667231394,0.36265445167943694,0.007742492016404866,295200.0,910400,561600,768000.0
1973-05-02,1.435991644859314,1.1590715646743774,0.36102813482284546,0.007698666770011187,1.435991644859314,1.1590715646743774,0.3653646800117952,0.007698666770011187,1.435991644859314,1.131309371508524,0.36102813482284546,0.007698666770011187,1.435991644859314,1.131309371508524,0.36211215945418385,0.007698666770011187,61600.0,844800,772200,153600.0
1973-05-03,1.4309542179107666,1.176424264907837,0.3621123135089874,0.007698666770011187,1.4511085026700732,1.1781595098461064,0.3631965619333998,0.007698666770011187,1.4309542179107666,1.1399864511027842,0.35181283284639914,0.007655373838280987,1.4359927891005932,1.1590728745699632,0.36102828841646817,0.007698666770011187,56000.0,723200,1053000,614400.0
1973-05-04,1.4460697174072266,1.1781591176986694,0.3642807602882385,0.007829082198441029,1.466223999182937,1.1833644271629746,0.36699114347888795,0.007829082198441029,1.4460697174072266,1.1694833195129692,0.3566914137729097,0.007785789255521095,1.4460697174072266,1.176423873337972,0.3642807602882385,0.007785789255521095,43200.0,494400,621000,3532800.0
1973-05-07,1.4511076211929321,1.166013240814209,0.366991251707077,0.007742492016404867,1.4712618937095006,1.1764240733214786,0.366991251707077,0.007742492016404866,1.4511076211929321,1.1625429633117856,0.35940193087008704,0.007742492016404866,1.4511076211929321,1.1764240733214786,0.3642808677171171,0.007742492016404866,42400.0,232000,480600,153600.0
