Date,Close,Close,High,High,Low,Low,Open,Open,Volume,Volume
2020-12-09,9038.185546875,47111.109375,9164.814735789876,47111.109375,8800.75519503192,46400.0,8895.727501803201,46666.66796875,64986634.0,1777027
2020-12-10,8848.2421875,46622.22265625,9117.33028979801,47555.5546875,8832.413329099463,46622.22265625,9117.33028979801,47111.109375,24795341.0,2203987
2020-12-11,8927.3857421875,47466.66796875,8943.214600752675,47466.66796875,8800.756534006856,46622.22265625,8895.728855227528,46622.22265625,11975931.0,1281060
2020-12-14,8927.3857421875,48400.0,9022.358063408172,48400.0,8895.728855227528,46888.890625,8959.04345931785,47422.22265625,19672363.0,2525355
2020-12-15,8864.0703125,47555.5546875,8943.213767784096,48400.0,8832.412598318242,47422.22265625,8927.384910693218,48400.0,19617395.0,2712825
2020-12-16,8943.2138671875,47555.5546875,9006.528466084455,47600.0,8864.070411023728,47066.66796875,8864.070411023728,47466.66796875,28092078.0,1701450
2020-12-17,8959.04296875,46533.33203125,9133.158743092159,47555.5546875,8879.899510428138,46488.890625,8895.728368126578,47555.5546875,36432174.0,3043305
2020-12-18,8990.7001953125,46533.33203125,9069.843656639077,47155.5546875,8959.043308884085,46444.4453125,9006.529053611888,46533.33203125,31400845.0,3039255
2020-12-21,9164.81640625,47288.890625,9275.617589373804,47288.890625,8974.872588256852,46622.22265625,9022.358335212539,46888.890625,60369833.0,1320975
2020-12-22,9101.5009765625,46977.77734375,9180.644434439728,47777.77734375,9054.015233904292,46800.0,9164.815576830217,47111.109375,20336517.0,1166220
2020-12-23,8895.728515625,46977.77734375,9133.15889452737,47555.5546875,8864.070799703213,46844.4453125,9117.330036566476,46977.77734375,30120577.0,1578217
2020-12-24,8642.4697265625,46977.77734375,8959.043581501945,47555.5546875,8389.210476576865,46222.22265625,8895.728976548135,47555.5546875,42511575.0,1870740
2020-12-25,8848.2421875,47066.66796875,8864.071045900535,47288.890625,8610.81180200306,46666.66796875,8642.469518804133,46977.77734375,24688816.0,833175
2020-12-28,8800.7568359375,47066.66796875,8959.043766678898,47377.77734375,8753.270258612836,46844.4453125,8959.043766678898,47066.66796875,16712416.0,1601347
2020-12-29,8769.0986328125,47333.33203125,8848.24209380677,47377.77734375,8737.440916346648,47022.22265625,8800.756349278352,47155.5546875,17459572.0,1377810
2020-12-30,8800.7568359375,48222.22265625,8927.386048462457,48711.109375,8784.927976829278,47422.22265625,8784.927976829278,47422.22265625,18102351.0,3440137
2020-12-31,8895.728515625,48088.890625,8959.04311729823,48577.77734375,8816.584225820532,46888.890625,8832.413083781426,48222.22265625,18192013.0,1476090
2021-01-01,8895.728515625,48088.890625,8895.728515625,48088.890625,8895.728515625,48088.890625,8895.728515625,48088.890625,0.0,0
2021-01-04,9069.8447265625,48000.0,9133.160167229053,48444.4453125,9022.358976233047,47333.33203125,9038.187836399684,48222.22265625,2893754.0,222997
2021-01-05,9291.4462890625,48755.5546875,9370.589752744892,48844.4453125,8959.043575562377,47644.4453125,9054.015898015325,47644.4453125,5019863.0,268245
2021-01-06,9465.5615234375,48977.77734375,9687.163042796668,49111.109375,9275.616889603734,48400.0,9402.24609204602,48888.890625,4265295.0,288675
2021-01-07,9465.5615234375,48933.33203125,9497.218408962903,49333.33203125,9370.589206520617,48444.4453125,9465.5615234375,49066.66796875,3124636.0,194017
2021-01-08,9560.5322265625,49688.890625,9623.847652764382,50088.890625,9433.903034499277,48933.33203125,9481.388773980418,48933.33203125,4167389.0,303457
2021-01-11,9608.01953125,50577.77734375,9782.1353062849,50933.33203125,9544.704930374673,50133.33203125,9655.505274363912,50133.33203125,2637442.0,345757
2021-01-12,9528.8759765625,50844.4453125,9592.190576799618,51555.5546875,9481.389403756917,50533.33203125,9576.361719197757,51555.5546875,2491309.0,220747
2021-01-13,9449.7333984375,49377.77734375,9608.02032885103,50933.33203125,9402.2468212112,49377.77734375,9592.191469775596,50844.4453125,2662550.0,278527
2021-01-14,9449.7333984375,49066.66796875,9465.562257512933,49911.109375,9243.959890797669,48888.890625,9465.562257512933,49555.5546875,2280137.0,323797
2021-01-15,9576.36328125,49422.22265625,9623.849861801376,49866.66796875,9481.390950317711,48800.0,9497.219810501503,49511.109375,2197672.0,278550
2021-01-18,9481.388671875,49022.22265625,9655.504431714575,49822.22265625,9465.560645665253,48933.33203125,9608.01869274481,49777.77734375,2260776.0,186052
2021-01-19,8832.4130859375,45644.4453125,9465.561593335391,49022.22265625,8832.4130859375,45600.0,9433.903877405875,49022.22265625,3511667.0,307710
2021-01-20,8959.04296875,45911.109375,8959.04296875,46666.66796875,8325.894472004784,45555.5546875,8864.0706527297,45777.77734375,3309088.0,421987
